#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723511.1         -           1104 2816at5820           -            697         0 1282.8  42.4   1   5    0.0036       4.6    4.1   0.3     1    50     1    49     1    72 0.69 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 2816at5820           -            697         0 1282.8  42.4   2   5   6.6e-06    0.0086   13.1   0.3    61    82   285   306   270   336 0.79 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 2816at5820           -            697         0 1282.8  42.4   3   5     0.026        34    1.2   1.1    24   102   339   416   332   420 0.65 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 2816at5820           -            697         0 1282.8  42.4   4   5   3.9e-27     5e-24   83.3   0.2   100   152   461   513   450   517 0.91 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 2816at5820           -            697         0 1282.8  42.4   5   5         0         0 1197.2  17.3   147   697   546  1096   522  1096 0.98 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718130.1         -            843 2816at5820           -            697   7.8e-99  330.5   6.1   1   1  7.5e-102   9.7e-99  330.2   6.1   105   683   245   832   224   842 0.90 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719674.1         -            783 2816at5820           -            697   1.7e-75  253.4  13.1   1   1   1.8e-78   2.3e-75  253.0  13.1    63   579   158   680   138   743 0.85 | transcript=PVPAM_070028800_t1 | gene=PVPAM_070028800 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=CASCJQ010000007:1041436-1043787(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 2816at5820           -            697   1.5e-38  131.2  10.5   1   2   1.3e-24   1.7e-21   74.9   2.3   103   315    44   271    26   283 0.79 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 2816at5820           -            697   1.5e-38  131.2  10.5   2   2   3.9e-20     5e-17   60.1   1.3   372   671   349   639   339   652 0.78 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 2816at5820           -            697     1e-19   69.1   7.8   1   4   1.4e-13   1.8e-10   38.4   0.1   107   312    66   260    61   271 0.78 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 2816at5820           -            697     1e-19   69.1   7.8   2   4   6.4e-08   8.3e-05   19.7   0.1   364   476   364   471   356   478 0.86 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
