#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722946.1         -            995 2959at5820           -            696         0 1093.0 109.9   1   6   4.7e-33   9.4e-31  105.5   0.1     3    71    45   114    43   124 0.92 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 2959at5820           -            696         0 1093.0 109.9   2   6   1.3e-06   0.00027   18.1   0.1    70   101   144   180   142   187 0.88 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 2959at5820           -            696         0 1093.0 109.9   3   6   1.9e-83   3.8e-81  272.1   8.7    86   264   221   406   212   410 0.92 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 2959at5820           -            696         0 1093.0 109.9   4   6  4.2e-126  8.5e-124  413.1  27.0   266   498   445   690   438   693 0.94 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 2959at5820           -            696         0 1093.0 109.9   5   6   2.6e-60   5.3e-58  195.6  10.9   498   615   749   866   746   877 0.94 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 2959at5820           -            696         0 1093.0 109.9   6   6   8.3e-34   1.7e-31  108.0  31.3   599   696   879   994   871   994 0.82 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 2959at5820           -            696   1.3e-36  124.9  32.7   1   5     9e-08   1.8e-05   22.0   0.1     5    67   145   208   142   213 0.89 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 2959at5820           -            696   1.3e-36  124.9  32.7   2   5   4.1e-05    0.0084   13.2   0.2   102   129   216   242   205   247 0.71 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 2959at5820           -            696   1.3e-36  124.9  32.7   3   5   3.7e-15   7.4e-13   46.4   4.9   170   323   258   410   254   415 0.82 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 2959at5820           -            696   1.3e-36  124.9  32.7   4   5   8.8e-18   1.8e-15   55.0   0.1   366   466   417   516   410   535 0.88 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 2959at5820           -            696   1.3e-36  124.9  32.7   5   5   0.00085      0.17    8.8   0.5   517   575   532   590   519   598 0.83 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
