#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718424.1         -           2046 2029at5820           -            894         0 1291.4  79.1   1   9     0.033   2.2e+02   -1.9   0.5     1    17     1    17     1    23 0.87 | transcript=PVPAM_040017000_t1 | gene=PVPAM_040017000 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000004:528002-534142(-) | protein_length=2046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718424.1         -           2046 2029at5820           -            894         0 1291.4  79.1   2   9   1.9e-13   1.2e-09   35.3   0.1    11    51    43    83    35    97 0.82 | transcript=PVPAM_040017000_t1 | gene=PVPAM_040017000 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000004:528002-534142(-) | protein_length=2046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718424.1         -           2046 2029at5820           -            894         0 1291.4  79.1   3   9   1.8e-45   1.2e-41  141.3   1.8    46   143   107   213   101   232 0.87 | transcript=PVPAM_040017000_t1 | gene=PVPAM_040017000 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000004:528002-534142(-) | protein_length=2046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718424.1         -           2046 2029at5820           -            894         0 1291.4  79.1   4   9  3.5e-182  2.3e-178  593.7  27.1   152   443   367   680   359   681 0.95 | transcript=PVPAM_040017000_t1 | gene=PVPAM_040017000 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000004:528002-534142(-) | protein_length=2046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718424.1         -           2046 2029at5820           -            894         0 1291.4  79.1   5   9   1.3e-16   8.3e-13   45.8   0.1   447   492   736   781   726   789 0.94 | transcript=PVPAM_040017000_t1 | gene=PVPAM_040017000 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000004:528002-534142(-) | protein_length=2046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718424.1         -           2046 2029at5820           -            894         0 1291.4  79.1   6   9   1.6e-30   1.1e-26   91.8   1.3   492   573   843   925   839   928 0.96 | transcript=PVPAM_040017000_t1 | gene=PVPAM_040017000 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000004:528002-534142(-) | protein_length=2046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718424.1         -           2046 2029at5820           -            894         0 1291.4  79.1   7   9   6.6e-37   4.2e-33  113.0   1.4   574   647   988  1061   986  1065 0.98 | transcript=PVPAM_040017000_t1 | gene=PVPAM_040017000 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000004:528002-534142(-) | protein_length=2046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718424.1         -           2046 2029at5820           -            894         0 1291.4  79.1   8   9   2.8e-23   1.8e-19   67.9   0.1   659   726  1381  1459  1373  1465 0.90 | transcript=PVPAM_040017000_t1 | gene=PVPAM_040017000 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000004:528002-534142(-) | protein_length=2046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718424.1         -           2046 2029at5820           -            894         0 1291.4  79.1   9   9   1.5e-72   9.8e-69  230.9   1.0   734   890  1575  1733  1563  1735 0.91 | transcript=PVPAM_040017000_t1 | gene=PVPAM_040017000 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000004:528002-534142(-) | protein_length=2046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2029at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2029at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2029at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:50 2026
# [ok]
