#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718475.1         -            477 7442at5820           -            347  4.4e-156  517.8  22.1   1   4   1.9e-65   2.5e-62  209.5   7.8     1   111     1   111     1   121 0.98 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718475.1         -            477 7442at5820           -            347  4.4e-156  517.8  22.1   2   4   3.6e-27   4.7e-24   83.6   0.4   108   168   149   209   142   212 0.95 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718475.1         -            477 7442at5820           -            347  4.4e-156  517.8  22.1   3   4   7.5e-45   9.7e-42  141.8   0.2   181   277   279   383   257   388 0.90 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718475.1         -            477 7442at5820           -            347  4.4e-156  517.8  22.1   4   4   1.6e-29   2.1e-26   91.4   0.0   277   347   402   475   392   475 0.92 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 7442at5820           -            347   6.1e-25   86.6  44.3   1   3   9.6e-14   1.2e-10   39.5   5.3    11   154     7   152     1   179 0.83 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 7442at5820           -            347   6.1e-25   86.6  44.3   2   3   1.7e-06    0.0022   15.7  15.0     9   109   236   340   228   369 0.75 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 7442at5820           -            347   6.1e-25   86.6  44.3   3   3   7.7e-15     1e-11   43.1   8.5    10   106   372   465   364   521 0.83 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723753.1         -            571 7442at5820           -            347   1.3e-14   52.5   8.1   1   1   1.6e-17   2.1e-14   51.9   8.1    10   120   398   505   392   555 0.76 | transcript=PVPAM_140067600_t1 | gene=PVPAM_140067600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000014:2700696-2702411(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717694.1         -           1094 7442at5820           -            347     3e-07   28.4  10.8   1   2       2.2   2.8e+03   -4.4   8.2    77   156    13    94     7   112 0.64 | transcript=PVPAM_010020800_t1 | gene=PVPAM_010020800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000001:753759-757043(+) | protein_length=1094 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717694.1         -           1094 7442at5820           -            347     3e-07   28.4  10.8   2   2   2.3e-10     3e-07   28.4  10.8    10   117   837   944   828  1018 0.81 | transcript=PVPAM_010020800_t1 | gene=PVPAM_010020800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000001:753759-757043(+) | protein_length=1094 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 7442at5820           -            347   4.7e-05   21.2   7.7   1   2    0.0064       8.3    3.9   0.1    11    41   168   198   157   203 0.80 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
