#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717882.1         -           1111 2885at5820           -            768         0 1240.4 114.4   1   8   8.7e-12     7e-09   32.9   4.4     1    40     9    52     9    59 0.88 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 2885at5820           -            768         0 1240.4 114.4   2   8   1.9e-28   1.5e-25   88.0   0.6    38   119    90   179    84   186 0.83 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 2885at5820           -            768         0 1240.4 114.4   3   8   1.5e-05     0.012   12.3   0.3   101   126   195   220   190   227 0.92 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 2885at5820           -            768         0 1240.4 114.4   4   8   3.3e-20   2.6e-17   60.7   0.1   124   161   257   294   237   300 0.93 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 2885at5820           -            768         0 1240.4 114.4   5   8  2.2e-116  1.7e-113  378.8  11.7   159   346   316   503   312   505 0.98 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 2885at5820           -            768         0 1240.4 114.4   6   8  1.6e-147  1.3e-144  481.7  45.4   342   594   574   826   571   832 0.99 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 2885at5820           -            768         0 1240.4 114.4   7   8   3.8e-35   3.1e-32  110.1   5.9   592   696   865  1000   860  1005 0.80 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 2885at5820           -            768         0 1240.4 114.4   8   8   1.1e-33   8.6e-31  105.3   0.4   696   768  1031  1107  1021  1107 0.95 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718417.1         -            945 2885at5820           -            768   2.4e-23   80.7  14.7   1   1   5.4e-26   4.3e-23   79.9  14.7   128   450   395   736   386   817 0.77 | transcript=PVPAM_040016300_t1 | gene=PVPAM_040016300 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=CASCJQ010000004:507968-510805(+) | protein_length=945 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718430.1         -            330 2885at5820           -            768   1.5e-11   41.7   6.6   1   1   2.2e-14   1.8e-11   41.4   6.6   126   405     3   287     1   323 0.75 | transcript=PVPAM_040017600_t1 | gene=PVPAM_040017600 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=CASCJQ010000004:549762-550754(-) | protein_length=330 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723751.1         -            336 2885at5820           -            768   5.5e-11   39.8   2.2   1   1     1e-13   8.4e-11   39.2   2.2   129   342    18   223     8   286 0.75 | transcript=PVPAM_140067400_t1 | gene=PVPAM_140067400 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=CASCJQ010000014:2694197-2695556(+) | protein_length=336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
