#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719696.1         -            133 14603at5820          -             96   1.4e-58  193.6   0.7   1   1   3.9e-61   1.7e-58  193.3   0.7     1    96    21   116    21   116 0.99 | transcript=PVPAM_070031000_t1 | gene=PVPAM_070031000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=CASCJQ010000007:1124314-1125388(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722312.1         -            104 14603at5820          -             96     5e-16   57.2   0.1   1   1   1.4e-18     6e-16   56.9   0.1    17    95    14    92     3    93 0.93 | transcript=PVPAM_120054900_t1 | gene=PVPAM_120054900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=CASCJQ010000012:2015654-2016102(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 14603at5820          -             96   1.6e-11   42.7   1.2   1   3   1.6e-06   0.00069   18.2   0.0    18    82    44   112    28   119 0.81 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 14603at5820          -             96   1.6e-11   42.7   1.2   2   3      0.59   2.6e+02    0.4   0.1     5    62   140   194   137   200 0.71 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 14603at5820          -             96   1.6e-11   42.7   1.2   3   3   3.5e-07   0.00015   20.3   0.0    18    84   368   437   358   441 0.74 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719603.1         -            179 14603at5820          -             96   1.7e-09   36.2   0.1   1   2      0.73   3.2e+02    0.1   0.0    39    65    50    76    41    83 0.74 | transcript=PVPAM_070021700_t1 | gene=PVPAM_070021700 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=CASCJQ010000007:760911-762124(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719603.1         -            179 14603at5820          -             96   1.7e-09   36.2   0.1   2   2   1.1e-11   4.8e-09   34.8   0.0     5    83    68   147    64   163 0.77 | transcript=PVPAM_070021700_t1 | gene=PVPAM_070021700 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=CASCJQ010000007:760911-762124(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721909.1         -            157 14603at5820          -             96   3.6e-06   25.5   0.1   1   1   2.6e-08   1.1e-05   24.0   0.1    13    87    61   137    58   144 0.86 | transcript=PVPAM_120014300_t1 | gene=PVPAM_120014300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=CASCJQ010000012:383174-384266(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723654.1         -            142 14603at5820          -             96   8.9e-06   24.3   0.1   1   1   2.9e-08   1.3e-05   23.8   0.1    19    80    21    83    13   101 0.79 | transcript=PVPAM_140057800_t1 | gene=PVPAM_140057800 | organism=Plasmodium_vivax_PAM | gene_product=mitosis protein dim1, putative | transcript_product=mitosis protein dim1, putative | location=CASCJQ010000014:2280755-2281183(+) | protein_length=142 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721835.1         -            209 14603at5820          -             96   2.5e-05   22.8   0.0   1   1   1.1e-07   4.6e-05   22.0   0.0    26    88    50   113    32   116 0.91 | transcript=PVPAM_120006900_t1 | gene=PVPAM_120006900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=CASCJQ010000012:82418-83438(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722263.1         -            121 14603at5820          -             96   0.00026   19.6   1.1   1   1   7.9e-07   0.00034   19.2   1.1     3    94     7   103     5   105 0.82 | transcript=PVPAM_120050000_t1 | gene=PVPAM_120050000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=CASCJQ010000012:1839394-1839759(+) | protein_length=121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719961.1         -            193 14603at5820          -             96   0.00046   18.8   0.0   1   2         2   8.5e+02   -1.3   0.9    42    66    34    57    14    70 0.58 | transcript=PVPAM_080018400_t1 | gene=PVPAM_080018400 | organism=Plasmodium_vivax_PAM | gene_product=phosducin-like protein 3, putative | transcript_product=phosducin-like protein 3, putative | location=CASCJQ010000008:631518-632099(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719961.1         -            193 14603at5820          -             96   0.00046   18.8   0.0   2   2   1.1e-06   0.00046   18.8   0.0     4    95    74   165    71   166 0.96 | transcript=PVPAM_080018400_t1 | gene=PVPAM_080018400 | organism=Plasmodium_vivax_PAM | gene_product=phosducin-like protein 3, putative | transcript_product=phosducin-like protein 3, putative | location=CASCJQ010000008:631518-632099(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 14603at5820          -             96    0.0027   16.3   0.0   1   1   2.5e-05     0.011   14.4   0.0     8    49   406   448   400   494 0.80 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 14603at5820          -             96    0.0037   15.9   0.9   1   2      0.17        72    2.2   0.1    15    70    53   109    34   118 0.66 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 14603at5820          -             96    0.0037   15.9   0.9   2   2   0.00022     0.096   11.4   0.1    42    90   192   240   181   245 0.78 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720037.1         -            206 14603at5820          -             96     0.006   15.2   0.0   1   1   2.3e-05      0.01   14.5   0.0    26    81    81   140    58   152 0.72 | transcript=PVPAM_080025900_t1 | gene=PVPAM_080025900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein, putative | transcript_product=thioredoxin-like protein, putative | location=CASCJQ010000008:953261-954385(+) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719489.1         -            282 14603at5820          -             96    0.0091   14.6   2.5   1   2   0.00018     0.077   11.7   0.3    16    89   142   216   126   222 0.75 | transcript=PVPAM_070010300_t1 | gene=PVPAM_070010300 | organism=Plasmodium_vivax_PAM | gene_product=ATP synthase-associated protein, putative | transcript_product=ATP synthase-associated protein, putative | location=CASCJQ010000007:292708-293556(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
