#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718442.1         -            862 3691at5820           -            651         0 1171.2 104.4   1   3  1.1e-180  2.3e-177  590.2  36.7     1   286     1   289     1   296 0.99 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 3691at5820           -            651         0 1171.2 104.4   2   3  3.5e-123  7.5e-120  400.2  31.6   286   510   410   646   404   662 0.95 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 3691at5820           -            651         0 1171.2 104.4   3   3   1.4e-58     3e-55  186.8  19.2   497   651   671   862   650   862 0.81 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 3691at5820           -            651   2.7e-07   28.3  36.3   1   5    0.0048        10    3.3   1.3    28    87    24    77     2    82 0.58 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 3691at5820           -            651   2.7e-07   28.3  36.3   2   5      0.33   7.2e+02   -2.8  10.4   355   419   119   184   110   195 0.85 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 3691at5820           -            651   2.7e-07   28.3  36.3   3   5     0.033        71    0.5   0.0   175   207   220   252   206   260 0.86 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 3691at5820           -            651   2.7e-07   28.3  36.3   4   5   0.00018      0.39    8.0   0.3   211   271   372   432   367   441 0.82 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 3691at5820           -            651   2.7e-07   28.3  36.3   5   5   1.2e-10   2.7e-07   28.3  36.3   303   624   556   892   534   897 0.78 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 3691at5820           -            651   0.00083   16.8   4.3   1   4       2.9   6.4e+03   -5.9  33.3    11   200    10   230     3   240 0.67 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 3691at5820           -            651   0.00083   16.8   4.3   2   4   3.8e-07   0.00083   16.8   4.3   210   290   494   572   480   578 0.80 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 3691at5820           -            651   0.00083   16.8   4.3   3   4   0.00031      0.66    7.2   3.5   327   378   803   856   750   864 0.74 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
