#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718755.1         -           1203 3824at5820           -            858         0 1360.3  91.6   1   6    0.0091         2    4.9   0.1    19    39    76    96    57   105 0.73 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 3824at5820           -            858         0 1360.3  91.6   2   6    7e-254  1.6e-251  835.7  14.6    32   434   134   545   113   566 0.95 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 3824at5820           -            858         0 1360.3  91.6   3   6   7.4e-46   1.6e-43  147.4   0.7   433   515   593   675   587   680 0.97 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 3824at5820           -            858         0 1360.3  91.6   4   6   1.4e-62   3.2e-60  202.7  22.2   535   717   789  1000   784  1009 0.83 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 3824at5820           -            858         0 1360.3  91.6   5   6   4.2e-12   9.3e-10   35.8   1.3   717   751  1023  1057  1018  1075 0.86 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 3824at5820           -            858         0 1360.3  91.6   6   6   3.2e-47   7.1e-45  152.0  20.5   733   858  1066  1194  1056  1194 0.91 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 3824at5820           -            858   3.6e-56  189.3  14.5   1   3       1.3   2.9e+02   -2.3   2.4   613   648    23    58     8    74 0.64 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 3824at5820           -            858   3.6e-56  189.3  14.5   2   3   1.6e-58   3.6e-56  189.3  14.5    64   401   148   483   134   509 0.87 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 3824at5820           -            858   3.6e-56  189.3  14.5   3   3       4.7     1e+03   -4.1   0.1   761   789   527   555   521   575 0.79 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718426.1         -            536 3824at5820           -            858   5.7e-47  158.9  12.1   1   1     4e-49     9e-47  158.2  12.1    62   434   129   498   116   531 0.87 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722193.1         -            398 3824at5820           -            858   2.4e-46  156.8   0.2   1   1   1.4e-48   3.1e-46  156.5   0.2    54   412    15   370     3   372 0.90 | transcript=PVPAM_120043100_t1 | gene=PVPAM_120043100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=CASCJQ010000012:1490010-1491552(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 3824at5820           -            858     6e-45  152.2   0.0   1   1   2.7e-47     6e-45  152.2   0.0    80   403   235   565   217   575 0.83 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723238.1         -            626 3824at5820           -            858   7.6e-44  148.6  19.3   1   1   4.6e-46     1e-43  148.1  19.3    74   415   158   514   151   544 0.87 | transcript=PVPAM_140015700_t1 | gene=PVPAM_140015700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=CASCJQ010000014:498695-500575(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718997.1         -            388 3824at5820           -            858   4.9e-43  145.9   4.0   1   1   2.7e-45   6.1e-43  145.6   4.0    53   414     6   364     2   377 0.90 | transcript=PVPAM_050038900_t1 | gene=PVPAM_050038900 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=CASCJQ010000005:1445941-1447107(+) | protein_length=388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723851.1         -            737 3824at5820           -            858   2.2e-41  140.4  18.0   1   1     1e-43   2.2e-41  140.4  18.0    81   402   122   474   106   485 0.80 | transcript=PVPAM_140077400_t1 | gene=PVPAM_140077400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=CASCJQ010000014:3037650-3039863(+) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723453.1         -            938 3824at5820           -            858   2.3e-41  140.4  12.0   1   1   1.4e-42   3.1e-40  136.6  12.0    61   403   352   734   304   760 0.81 | transcript=PVPAM_140037500_t1 | gene=PVPAM_140037500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=CASCJQ010000014:1392118-1394934(-) | protein_length=938 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723609.1         -            717 3824at5820           -            858   6.3e-41  138.9   1.0   1   2   1.1e-08   2.4e-06   24.5   0.0    61   127   277   342   225   346 0.83 | transcript=PVPAM_140053300_t1 | gene=PVPAM_140053300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=CASCJQ010000014:2074214-2076367(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
