#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720853.1         -            934 2524at5820           -            799         0 1618.3  77.2   1   2         0         0 1255.0  47.9     1   589     1   608     1   622 0.97 | transcript=PVPAM_100011900_t1 | gene=PVPAM_100011900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1/2 complex subunit beta, putative | transcript_product=AP-1/2 complex subunit beta, putative | location=CASCJQ010000010:315130-318983(+) | protein_length=934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720853.1         -            934 2524at5820           -            799         0 1618.3  77.2   2   2  1.6e-113  2.1e-110  368.7  19.7   579   799   663   931   651   931 0.91 | transcript=PVPAM_100011900_t1 | gene=PVPAM_100011900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1/2 complex subunit beta, putative | transcript_product=AP-1/2 complex subunit beta, putative | location=CASCJQ010000010:315130-318983(+) | protein_length=934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718006.1         -            902 2524at5820           -            799     2e-80  269.6  40.9   1   2   1.5e-83     2e-80  269.6  40.9    13   564     6   577     2   586 0.91 | transcript=PVPAM_020023700_t1 | gene=PVPAM_020023700 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=CASCJQ010000002:796447-799745(-) | protein_length=902 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718006.1         -            902 2524at5820           -            799     2e-80  269.6  40.9   2   2      0.72   9.3e+02   -3.8   0.6   641   745   737   843   733   873 0.50 | transcript=PVPAM_020023700_t1 | gene=PVPAM_020023700 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=CASCJQ010000002:796447-799745(-) | protein_length=902 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721497.1         -           1004 2524at5820           -            799   9.8e-26   88.7  15.1   1   2   3.9e-26     5e-23   79.8   1.3     4   189    32   214    29   222 0.92 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721497.1         -           1004 2524at5820           -            799   9.8e-26   88.7  15.1   2   2   2.7e-06    0.0035   14.1   6.5   227   450   368   592   357   628 0.86 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722850.1         -           1313 2524at5820           -            799   1.5e-09   35.2   6.6   1   2   1.2e-12   1.5e-09   35.2   6.6    16   200    25   230    13   237 0.80 | transcript=PVPAM_130035200_t1 | gene=PVPAM_130035200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000013:1357192-1361475(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722850.1         -           1313 2524at5820           -            799   1.5e-09   35.2   6.6   2   2     0.011        14    2.3   2.9   276   353   401   481   350   500 0.79 | transcript=PVPAM_130035200_t1 | gene=PVPAM_130035200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000013:1357192-1361475(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 2524at5820           -            799    0.0017   15.2  36.6   1   3   1.1e-06    0.0014   15.4  19.0    25   350    53   394    38   415 0.71 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 2524at5820           -            799    0.0017   15.2  36.6   2   3   2.4e-05     0.031   11.0   3.3   411   523   614   729   600   795 0.74 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 2524at5820           -            799    0.0017   15.2  36.6   3   3      0.63   8.1e+02   -3.6   0.4   502   553  1215  1267  1197  1293 0.71 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
