#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   1  23   1.8e-26   1.1e-22   77.3  21.2    26   175   264   474   237   490 0.68 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   2  23   6.3e-81   4.1e-77  257.9  11.1   171   361   622   811   615   830 0.89 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   3  23  1.4e-118  9.1e-115  382.9  37.2   318   564   956  1221   940  1248 0.82 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   4  23  6.8e-100   4.4e-96  320.9  37.3   566   772  1299  1510  1282  1534 0.85 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   5  23  1.2e-240  7.6e-237  787.9  89.3   726  1099  1545  1922  1532  1936 0.92 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   6  23   6.8e-41   4.4e-37  125.1   4.7  1092  1185  2116  2215  2108  2219 0.92 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   7  23   8.6e-26   5.5e-22   75.0   0.8  1186  1245  2277  2336  2274  2359 0.87 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   8  23   3.8e-67   2.5e-63  212.2  11.5  1255  1395  2422  2571  2419  2577 0.94 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5   9  23   9.1e-21   5.9e-17   58.3   5.0  1379  1467  2709  2812  2681  2835 0.71 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  10  23   1.5e-33   9.9e-30  100.7  13.5  1407  1624  2912  3154  2872  3215 0.74 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  11  23         1   6.5e+03  -12.8  11.6  1592  1682  3440  3529  3434  3543 0.63 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  12  23     0.026   1.7e+02   -2.9  11.8  1630  1720  3708  3793  3670  3841 0.64 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  13  23   0.00062         4    2.5   8.0  1698  1747  3861  3909  3777  3916 0.68 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  14  23         1   6.5e+03  -16.9  32.7  1608  1836  4012  4241  3990  4261 0.50 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  15  23         1   6.5e+03  -29.6  51.8  1719  1844  4248  4364  4231  4376 0.26 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  16  23         1   6.5e+03  -21.4  38.4  1716  1847  4328  4459  4319  4476 0.52 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721335.1         -           6586 54at5820             -           3125         0 4185.8 654.5  17  23   1.9e-30   1.2e-26   90.5   0.8  1832  1908  4511  4587  4476  4604 0.81 | transcript=PVPAM_110023800_t1 | gene=PVPAM_110023800 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000011:788571-809215(-) | protein_length=6586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
