#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719130.1         -            950 2641at5820           -            590  2.2e-218  725.2  16.3   1   8   1.2e-06    0.0037   14.5   0.1     1    22    19    40    19    43 0.94 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719130.1         -            950 2641at5820           -            590  2.2e-218  725.2  16.3   2   8   5.9e-44   1.9e-40  137.6   0.0    23    99    68   144    65   151 0.96 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719130.1         -            950 2641at5820           -            590  2.2e-218  725.2  16.3   3   8   6.8e-36   2.2e-32  111.0   0.0    98   177   167   246   162   251 0.96 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719130.1         -            950 2641at5820           -            590  2.2e-218  725.2  16.3   4   8   1.3e-33   4.2e-30  103.5   0.1   179   268   286   382   280   391 0.92 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719130.1         -            950 2641at5820           -            590  2.2e-218  725.2  16.3   5   8   7.8e-58   2.5e-54  183.5   1.1   268   414   414   584   391   587 0.83 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719130.1         -            950 2641at5820           -            590  2.2e-218  725.2  16.3   6   8   2.3e-26   7.4e-23   79.5   0.0   421   486   654   722   649   726 0.93 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719130.1         -            950 2641at5820           -            590  2.2e-218  725.2  16.3   7   8   1.5e-16   4.8e-13   47.1   0.0   467   524   742   806   737   808 0.78 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719130.1         -            950 2641at5820           -            590  2.2e-218  725.2  16.3   8   8   8.8e-18   2.8e-14   51.2   0.0   526   585   854   919   850   923 0.84 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 2641at5820           -            590   0.00014   19.2   2.1   1   5      0.23   7.6e+02   -3.0   5.6   245   322    99   177    84   192 0.77 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 2641at5820           -            590   0.00014   19.2   2.1   2   5     0.029        95   -0.1   2.9   185   238   237   290   226   302 0.79 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 2641at5820           -            590   0.00014   19.2   2.1   3   5   0.00021      0.67    7.0   2.5   297   344   405   452   373   471 0.75 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
