#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   1  13   4.2e-06     0.027    9.7   0.6     1    21     1    21     1    25 0.95 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   2  13         0         0 1140.4  23.7    19   720    63   855    60   860 0.92 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   3  13    4e-142  2.6e-138  460.9  14.8   731   993   903  1189   887  1192 0.92 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   4  13  2.3e-208  1.5e-204  680.5   6.6   987  1427  1206  1724  1200  1729 0.88 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   5  13   1.1e-05     0.074    8.3   0.0  1428  1456  1755  1783  1735  1802 0.75 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   6  13  2.9e-125  1.9e-121  404.9   7.2  1462  1744  1844  2166  1838  2167 0.90 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   7  13   4.7e-11     3e-07   26.2   0.1  1751  1817  2256  2338  2253  2350 0.71 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   8  13   3.7e-29   2.4e-25   86.2   0.1  1816  1905  2403  2495  2380  2506 0.82 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1   9  13    0.0058        38   -0.7   0.1  1926  1951  2592  2621  2575  2631 0.73 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1  10  13   2.2e-07    0.0014   13.9   0.1  1942  2011  2682  2755  2667  2766 0.71 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720098.1         -           3400 118at5820            -           2222         0 2922.0 115.1  11  13   3.5e-13   2.2e-09   33.2   0.2  1997  2066  2797  2876  2783  2891 0.76 | transcript=PVPAM_080032000_t1 | gene=PVPAM_080032000 | organism=Plasmodium_vivax_PAM | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=CASCJQ010000008:1224178-1234380(+) | protein_length=3400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
