#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720686.1         -            444 13770at5820          -            338  1.7e-116  387.6 143.6   1   4   3.7e-44   4.7e-41  139.5  24.6     2   123    18   133    17   138 0.77 | transcript=PVPAM_090045100_t1 | gene=PVPAM_090045100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1802396-1803908(-) | protein_length=444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720686.1         -            444 13770at5820          -            338  1.7e-116  387.6 143.6   2   4     0.084   1.1e+02    0.3  43.4   253   330   128   209   123   217 0.42 | transcript=PVPAM_090045100_t1 | gene=PVPAM_090045100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1802396-1803908(-) | protein_length=444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720686.1         -            444 13770at5820          -            338  1.7e-116  387.6 143.6   3   4   7.6e-80   9.8e-77  256.8  67.9    96   320   202   416   200   421 0.72 | transcript=PVPAM_090045100_t1 | gene=PVPAM_090045100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1802396-1803908(-) | protein_length=444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720686.1         -            444 13770at5820          -            338  1.7e-116  387.6 143.6   4   4    0.0049       6.4    4.3  30.2   253   302   393   442   387   444 0.60 | transcript=PVPAM_090045100_t1 | gene=PVPAM_090045100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1802396-1803908(-) | protein_length=444 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717920.1         -           1478 13770at5820          -            338      0.14    9.7  32.2   1   2   3.5e-05     0.045   11.4  28.5   262   335   190   261   152   269 0.45 | transcript=PVPAM_020015200_t1 | gene=PVPAM_020015200 | organism=Plasmodium_vivax_PAM | gene_product=Niemann-Pick type C1-related protein, putative | transcript_product=Niemann-Pick type C1-related protein, putative | location=CASCJQ010000002:438122-442980(+) | protein_length=1478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717920.1         -           1478 13770at5820          -            338      0.14    9.7  32.2   2   2       0.6   7.8e+02   -2.5   0.1   257   264   283   290   271   329 0.52 | transcript=PVPAM_020015200_t1 | gene=PVPAM_020015200 | organism=Plasmodium_vivax_PAM | gene_product=Niemann-Pick type C1-related protein, putative | transcript_product=Niemann-Pick type C1-related protein, putative | location=CASCJQ010000002:438122-442980(+) | protein_length=1478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 13770at5820          -            338       0.4    8.3  27.4   1   2     1e-05     0.013   13.1  20.9   281   326   116   164   109   171 0.45 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 13770at5820          -            338       0.4    8.3  27.4   2   2      0.44   5.7e+02   -2.1   0.4   133   141   318   326   305   339 0.47 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721589.1         -            709 13770at5820          -            338       1.1    6.9  12.2   1   1    0.0015         2    6.0  12.2   291   331   292   331   282   341 0.31 | transcript=PVPAM_110049400_t1 | gene=PVPAM_110049400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1847928-1850057(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723273.1         -            158 13770at5820          -            338       1.5    6.4  25.7   1   1    0.0014       1.8    6.1  25.7   279   336    91   157    69   158 0.49 | transcript=PVPAM_140019200_t1 | gene=PVPAM_140019200 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=CASCJQ010000014:645115-645591(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
