#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720151.1         -           2147 374at5820            -           1549         0 2465.0  89.9   1   8  1.5e-207  1.6e-204  680.5   4.5    28   416    92   525    85   529 0.92 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 374at5820            -           1549         0 2465.0  89.9   2   8   1.1e-86   1.2e-83  279.9   0.0   415   599   619   830   613   834 0.91 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 374at5820            -           1549         0 2465.0  89.9   3   8  2.4e-112  2.6e-109  365.0   0.1   590   797   847  1063   841  1065 0.96 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 374at5820            -           1549         0 2465.0  89.9   4   8   3.2e-11   3.5e-08   29.8   0.1    28   112  1081  1165  1077  1171 0.75 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 374at5820            -           1549         0 2465.0  89.9   5   8   5.3e-29   5.7e-26   88.7   0.0   823   914  1158  1257  1152  1263 0.88 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 374at5820            -           1549         0 2465.0  89.9   6   8  1.3e-185  1.4e-182  607.8  32.5   926  1294  1329  1778  1323  1781 0.89 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 374at5820            -           1549         0 2465.0  89.9   7   8   1.6e-96   1.8e-93  312.5  15.6  1292  1478  1819  2045  1809  2054 0.87 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 374at5820            -           1549         0 2465.0  89.9   8   8   6.6e-39   7.1e-36  121.6   4.2  1477  1549  2074  2147  2069  2147 0.95 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717808.1         -            295 374at5820            -           1549   1.2e-35  120.9   0.0   1   1   1.3e-38   1.4e-35  120.6   0.0   596   795    88   289    37   294 0.87 | transcript=PVPAM_010032200_t1 | gene=PVPAM_010032200 | organism=Plasmodium_vivax_PAM | gene_product=von Willebrand factor A domain-related protein, putative | transcript_product=von Willebrand factor A domain-related protein, putative | location=CASCJQ010000001:1226117-1227004(+) | protein_length=295 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721993.1         -            556 374at5820            -           1549   2.3e-30  103.3   4.8   1   2   9.2e-31   9.9e-28   94.6   0.0   600   793    36   232    25   238 0.91 | transcript=PVPAM_120023200_t1 | gene=PVPAM_120023200 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related anonymous protein, putative | transcript_product=thrombospondin-related anonymous protein, putative | location=CASCJQ010000012:753859-755529(+) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721993.1         -            556 374at5820            -           1549   2.3e-30  103.3   4.8   2   2   4.4e-05     0.047    9.5   2.2  1215  1259   239   283   232   287 0.71 | transcript=PVPAM_120023200_t1 | gene=PVPAM_120023200 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related anonymous protein, putative | transcript_product=thrombospondin-related anonymous protein, putative | location=CASCJQ010000012:753859-755529(+) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721466.1         -           1488 374at5820            -           1549   1.1e-11   41.4   8.1   1   2   6.9e-05     0.074    8.8   4.3  1110  1321   255   280   133   324 0.54 | transcript=PVPAM_110037100_t1 | gene=PVPAM_110037100 | organism=Plasmodium_vivax_PAM | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=CASCJQ010000011:1346879-1351345(-) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721466.1         -           1488 374at5820            -           1549   1.1e-11   41.4   8.1   2   2   1.6e-12   1.7e-09   34.1   0.3    34   170   325   463   302   493 0.79 | transcript=PVPAM_110037100_t1 | gene=PVPAM_110037100 | organism=Plasmodium_vivax_PAM | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=CASCJQ010000011:1346879-1351345(-) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717952.1         -            159 374at5820            -           1549   4.6e-06   22.8   5.6   1   1   5.1e-09   5.4e-06   22.5   5.6  1294  1370    47   121    33   138 0.59 | transcript=PVPAM_020018400_t1 | gene=PVPAM_020018400 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=CASCJQ010000002:559060-560017(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720257.1         -            377 374at5820            -           1549    0.0019   14.1   0.2   1   1   2.3e-06    0.0024   13.7   0.2  1172  1263   311   354   293   361 0.55 | transcript=PVPAM_080048000_t1 | gene=PVPAM_080048000 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite (CS) protein | transcript_product=circumsporozoite (CS) protein | location=CASCJQ010000008:1866303-1867436(+) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/374at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/374at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/374at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:29 2026
# [ok]
