#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722886.1         -            610 4638at5820           -            522         0 1035.2  39.0   1   2  2.4e-172  1.7e-169  563.1  25.9     1   307     1   324     1   335 0.93 | transcript=PVPAM_130038800_t1 | gene=PVPAM_130038800 | organism=Plasmodium_vivax_PAM | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=CASCJQ010000013:1502774-1504606(+) | protein_length=610 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722886.1         -            610 4638at5820           -            522         0 1035.2  39.0   2   2  1.4e-146    1e-143  478.1   5.1   292   522   373   609   369   609 0.97 | transcript=PVPAM_130038800_t1 | gene=PVPAM_130038800 | organism=Plasmodium_vivax_PAM | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=CASCJQ010000013:1502774-1504606(+) | protein_length=610 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 4638at5820           -            522   2.7e-07   27.9   7.9   1   2     0.012       8.8    3.1   0.1   389   463    88   161    78   181 0.81 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 4638at5820           -            522   2.7e-07   27.9   7.9   2   2   7.4e-10   5.3e-07   27.0   3.3   210   292   219   298   210   355 0.87 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721889.1         -            363 4638at5820           -            522   3.5e-05   21.0   3.1   1   2      0.16   1.1e+02   -0.5   0.1   214   249    24    62    16    77 0.75 | transcript=PVPAM_120012300_t1 | gene=PVPAM_120012300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=CASCJQ010000012:302613-304872(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721889.1         -            363 4638at5820           -            522   3.5e-05   21.0   3.1   2   2   6.3e-08   4.5e-05   20.6   0.5   187   245    89   149    57   177 0.59 | transcript=PVPAM_120012300_t1 | gene=PVPAM_120012300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=CASCJQ010000012:302613-304872(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 4638at5820           -            522   6.8e-05   20.0   7.4   1   3   0.00026      0.18    8.7   0.3   223   283    85   143    22   157 0.81 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 4638at5820           -            522   6.8e-05   20.0   7.4   2   3   2.4e-05     0.017   12.1   0.6   209   288   157   235   145   250 0.82 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 4638at5820           -            522   6.8e-05   20.0   7.4   3   3     0.036        26    1.6   0.0   219   241   298   320   266   322 0.84 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 4638at5820           -            522   0.00037   17.6   1.8   1   2   2.7e-06     0.002   15.2   0.1   150   242   370   463   342   556 0.77 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 4638at5820           -            522   0.00037   17.6   1.8   2   2     0.034        25    1.7   0.3   221   319   591   690   585   720 0.59 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
