#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718094.1         -            548 6096at5820           -            473    7e-248  821.9  40.8   1   2      0.15        29    2.0   0.1     1    16     1    16     1    20 0.92 | transcript=PVPAM_030009000_t1 | gene=PVPAM_030009000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=CASCJQ010000003:195401-197371(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718094.1         -            548 6096at5820           -            473    7e-248  821.9  40.8   2   2  6.1e-250  1.2e-247  821.1  37.5    15   473    56   544    50   544 0.96 | transcript=PVPAM_030009000_t1 | gene=PVPAM_030009000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=CASCJQ010000003:195401-197371(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 6096at5820           -            473   3.3e-23   81.0  13.7   1   1   4.7e-25   9.1e-23   79.6  13.7    92   463   180   548   162   556 0.71 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721049.1         -           1475 6096at5820           -            473   5.2e-22   77.1   3.2   1   1   7.8e-24   1.5e-21   75.5   3.2    96   429   714  1050   701  1070 0.77 | transcript=PVPAM_100031700_t1 | gene=PVPAM_100031700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=CASCJQ010000010:1161244-1165671(-) | protein_length=1475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718426.1         -            536 6096at5820           -            473   5.7e-22   76.9  11.6   1   1     1e-23     2e-21   75.2  11.5    94   411   166   475   154   525 0.78 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722948.1         -            877 6096at5820           -            473     1e-21   76.1  37.5   1   1     9e-24   1.8e-21   75.3  37.5    91   454   168   537   113   553 0.69 | transcript=PVPAM_130045000_t1 | gene=PVPAM_130045000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=CASCJQ010000013:1736949-1739744(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722027.1         -            489 6096at5820           -            473   1.3e-20   72.5   0.2   1   2   1.5e-07   2.9e-05   21.8   0.0   102   204   103   216    90   228 0.75 | transcript=PVPAM_120026600_t1 | gene=PVPAM_120026600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=CASCJQ010000012:856206-857675(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722027.1         -            489 6096at5820           -            473   1.3e-20   72.5   0.2   2   2   1.6e-15   3.1e-13   48.1   0.3   272   414   291   428   281   466 0.80 | transcript=PVPAM_120026600_t1 | gene=PVPAM_120026600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=CASCJQ010000012:856206-857675(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722193.1         -            398 6096at5820           -            473   1.6e-20   72.2   0.4   1   2   4.5e-07   8.8e-05   20.3   0.0    86   212    51   187    43   212 0.75 | transcript=PVPAM_120043100_t1 | gene=PVPAM_120043100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=CASCJQ010000012:1490010-1491552(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722193.1         -            398 6096at5820           -            473   1.6e-20   72.2   0.4   2   2   4.1e-16   8.1e-14   50.1   0.3   273   413   238   372   228   395 0.85 | transcript=PVPAM_120043100_t1 | gene=PVPAM_120043100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=CASCJQ010000012:1490010-1491552(-) | protein_length=398 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721094.1         -            522 6096at5820           -            473   2.2e-20   71.7  24.2   1   1   2.5e-22     5e-20   70.5  24.3    79   447   118   501   102   504 0.77 | transcript=PVPAM_100036200_t1 | gene=PVPAM_100036200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=CASCJQ010000010:1343851-1345783(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
