#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720477.1         -           1963 828at5820            -           1161         0 1731.6 109.6   1   9   2.7e-74   5.8e-71  238.2   4.9     1   141     1   144     1   150 0.98 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720477.1         -           1963 828at5820            -           1161         0 1731.6 109.6   2   9   2.2e-16   4.8e-13   46.4   0.8   139   178   183   222   178   229 0.93 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720477.1         -           1963 828at5820            -           1161         0 1731.6 109.6   3   9     3e-75   6.6e-72  241.3   9.7   179   388   279   537   268   540 0.85 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720477.1         -           1963 828at5820            -           1161         0 1731.6 109.6   4   9   4.2e-26   9.1e-23   78.6   0.2   388   445   634   692   631   696 0.95 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720477.1         -           1963 828at5820            -           1161         0 1731.6 109.6   5   9   4.1e-55   8.9e-52  174.7  23.9   453   606   882  1068   863  1072 0.86 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720477.1         -           1963 828at5820            -           1161         0 1731.6 109.6   6   9   3.6e-35   7.8e-32  108.6   0.2   625   700  1190  1265  1173  1272 0.93 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720477.1         -           1963 828at5820            -           1161         0 1731.6 109.6   7   9  1.5e-139  3.2e-136  454.3  15.3   699   948  1292  1553  1286  1557 0.95 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720477.1         -           1963 828at5820            -           1161         0 1731.6 109.6   8   9   2.3e-10   4.9e-07   26.5   0.4   946   973  1632  1659  1627  1664 0.93 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720477.1         -           1963 828at5820            -           1161         0 1731.6 109.6   9   9  2.4e-123  5.2e-120  400.6   0.8   966  1161  1767  1963  1756  1963 0.95 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 828at5820            -           1161   4.8e-56  188.8   8.0   1   9         3   6.5e+03   -7.3   6.0   404   498   161   251   152   271 0.69 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 828at5820            -           1161   4.8e-56  188.8   8.0   2   9         3   6.5e+03   -9.1   6.3   469   515  1285  1332  1250  1345 0.72 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 828at5820            -           1161   4.8e-56  188.8   8.0   3   9     0.072   1.5e+02   -1.7   2.6   709   757  2501  2550  2456  2563 0.73 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 828at5820            -           1161   4.8e-56  188.8   8.0   4   9         3   6.5e+03  -24.0  24.9   578   631  5033  5087  5019  5092 0.56 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 828at5820            -           1161   4.8e-56  188.8   8.0   5   9         3   6.5e+03  -11.9  10.4   567   604  5086  5121  5075  5128 0.72 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 828at5820            -           1161   4.8e-56  188.8   8.0   6   9         3   6.5e+03  -13.2  15.9   576   676  5251  5349  5235  5359 0.56 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 828at5820            -           1161   4.8e-56  188.8   8.0   7   9       1.4     3e+03   -5.9   2.5   261   321  7496  7553  7491  7570 0.74 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 828at5820            -           1161   4.8e-56  188.8   8.0   8   9   1.5e-18   3.3e-15   53.6   3.5   721   925  8143  8357  8117  8365 0.76 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
