#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718853.1         -            521 6024at5820           -            405  1.9e-206  684.7  36.0   1   4  2.2e-143  3.6e-140  466.4  14.8     1   234     1   235     1   244 0.95 | transcript=PVPAM_050024700_t1 | gene=PVPAM_050024700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000005:851351-853101(-) | protein_length=521 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718853.1         -            521 6024at5820           -            405  1.9e-206  684.7  36.0   2   4   5.8e-27   9.4e-24   83.0   6.9   205   288   239   340   223   349 0.77 | transcript=PVPAM_050024700_t1 | gene=PVPAM_050024700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000005:851351-853101(-) | protein_length=521 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718853.1         -            521 6024at5820           -            405  1.9e-206  684.7  36.0   3   4   6.5e-14     1e-10   40.1   0.1   292   337   374   419   355   427 0.85 | transcript=PVPAM_050024700_t1 | gene=PVPAM_050024700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000005:851351-853101(-) | protein_length=521 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718853.1         -            521 6024at5820           -            405  1.9e-206  684.7  36.0   4   4   1.4e-33   2.3e-30  104.8   0.1   331   405   447   521   440   521 0.93 | transcript=PVPAM_050024700_t1 | gene=PVPAM_050024700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000005:851351-853101(-) | protein_length=521 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722196.1         -            743 6024at5820           -            405   5.2e-59  199.1  12.9   1   2     1e-30   1.7e-27   95.4   1.3     1    67     1    67     1    76 0.93 | transcript=PVPAM_120043400_t1 | gene=PVPAM_120043400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:1506059-1508290(-) | protein_length=743 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722196.1         -            743 6024at5820           -            405   5.2e-59  199.1  12.9   2   2   1.1e-34   1.8e-31  108.4   4.3   113   228    78   190    71   275 0.69 | transcript=PVPAM_120043400_t1 | gene=PVPAM_120043400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:1506059-1508290(-) | protein_length=743 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 6024at5820           -            405   1.8e-06   26.1   4.4   1   2   1.7e-09   2.7e-06   25.5   2.9   110   168    16    74     4    81 0.91 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 6024at5820           -            405   1.8e-06   26.1   4.4   2   2      0.19   3.1e+02   -1.0   0.0   112   131    84   103    78   112 0.85 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721613.1         -           1376 6024at5820           -            405   1.2e-05   23.4   5.0   1   3   7.3e-09   1.2e-05   23.4   5.0    98   159    29    90    15   109 0.85 | transcript=PVPAM_110051700_t1 | gene=PVPAM_110051700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:1952212-1956342(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721613.1         -           1376 6024at5820           -            405   1.2e-05   23.4   5.0   2   3       0.8   1.3e+03   -3.1   1.0   216   258   475   515   446   521 0.62 | transcript=PVPAM_110051700_t1 | gene=PVPAM_110051700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:1952212-1956342(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721613.1         -           1376 6024at5820           -            405   1.2e-05   23.4   5.0   3   3       2.1   3.4e+03   -4.4   1.2   292   316  1214  1238  1188  1271 0.50 | transcript=PVPAM_110051700_t1 | gene=PVPAM_110051700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:1952212-1956342(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6024at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6024at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6024at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:40 2026
# [ok]
