#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721050.1         -            277 14730at5820          -            238   3.6e-94  313.3  47.9   1   1   2.8e-95     2e-92  307.6  47.9     1   232     1   255     1   276 0.71 | transcript=PVPAM_100031800_t1 | gene=PVPAM_100031800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000010:1167488-1168321(-) | protein_length=277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718216.1         -            846 14730at5820          -            238      0.04   12.0  11.2   1   2     0.019        14    3.7  11.3   173   207    56    88    41   109 0.39 | transcript=PVPAM_030021600_t1 | gene=PVPAM_030021600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX31, putative | transcript_product=ATP-dependent DNA helicase DDX31, putative | location=CASCJQ010000003:705738-708278(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718216.1         -            846 14730at5820          -            238      0.04   12.0  11.2   2   2    0.0049       3.5    5.6   0.0    49    91   751   795   732   830 0.84 | transcript=PVPAM_030021600_t1 | gene=PVPAM_030021600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX31, putative | transcript_product=ATP-dependent DNA helicase DDX31, putative | location=CASCJQ010000003:705738-708278(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722387.1         -            357 14730at5820          -            238      0.05   11.7  14.6   1   1   0.00012     0.087   10.9  14.6   128   184    50   112     9   130 0.44 | transcript=PVPAM_120062300_t1 | gene=PVPAM_120062300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2331963-2333036(+) | protein_length=357 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720474.1         -            368 14730at5820          -            238     0.074   11.1  19.6   1   1   0.00017      0.12   10.4  19.6   136   218    19   117     3   142 0.32 | transcript=PVPAM_090023900_t1 | gene=PVPAM_090023900 | organism=Plasmodium_vivax_PAM | gene_product=tRNA m(1)G methyltransferase, putative | transcript_product=tRNA m(1)G methyltransferase, putative | location=CASCJQ010000009:868031-869664(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721431.1         -            510 14730at5820          -            238      0.12   10.5   8.5   1   1   0.00043      0.31    9.1   8.5   109   183   386   465   378   491 0.48 | transcript=PVPAM_110033700_t1 | gene=PVPAM_110033700 | organism=Plasmodium_vivax_PAM | gene_product=PIMMS43 protein, putative | transcript_product=PIMMS43 protein, putative | location=CASCJQ010000011:1217083-1218615(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723443.1         -           1416 14730at5820          -            238      0.83    7.7  34.7   1   2       3.8   2.7e+03   -3.8   2.1   184   212   802   830   790   854 0.32 | transcript=PVPAM_140036500_t1 | gene=PVPAM_140036500 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:1342164-1346585(+) | protein_length=1416 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723443.1         -           1416 14730at5820          -            238      0.83    7.7  34.7   2   2   6.2e-06    0.0045   15.1  25.0   160   233  1147  1261  1084  1267 0.54 | transcript=PVPAM_140036500_t1 | gene=PVPAM_140036500 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:1342164-1346585(+) | protein_length=1416 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723783.1         -             81 14730at5820          -            238       1.1    7.3  13.4   1   1    0.0014         1    7.4  13.4   172   213     5    51     1    80 0.49 | transcript=PVPAM_140070600_t1 | gene=PVPAM_140070600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:2795648-2796594(+) | protein_length=81 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723502.1         -            404 14730at5820          -            238       2.1    6.4  22.8   1   1     0.005       3.6    5.6  22.8   131   216   176   259   163   279 0.30 | transcript=PVPAM_140042500_t1 | gene=PVPAM_140042500 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein 9, putative | transcript_product=radial spoke head protein 9, putative | location=CASCJQ010000014:1587340-1588554(+) | protein_length=404 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 14730at5820          -            238       7.2    4.6  15.3   1   2   0.00055      0.39    8.8   9.0   126   191    27    88     4   135 0.56 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
