#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717663.1         -           1116 2233at5820           -            734         0 1326.2  96.3   1   6  1.7e-105  1.8e-102  342.5  17.0     6   178    16   188     7   198 0.95 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 2233at5820           -            734         0 1326.2  96.3   2   6  1.1e-165  1.2e-162  541.5  24.2   177   457   251   549   245   552 0.93 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 2233at5820           -            734         0 1326.2  96.3   3   6      0.39   4.2e+02   -2.5  11.3   435   462   545   573   540   610 0.71 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 2233at5820           -            734         0 1326.2  96.3   4   6    0.0028         3    4.6   0.0   459   477   700   718   690   722 0.90 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 2233at5820           -            734         0 1326.2  96.3   5   6   6.3e-98   6.8e-95  317.5  11.1   459   659   762   969   741   974 0.89 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 2233at5820           -            734         0 1326.2  96.3   6   6     3e-45   3.3e-42  143.3   5.7   651   734  1032  1116  1015  1116 0.93 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 2233at5820           -            734   1.2e-19   68.7   9.9   1   3   6.5e-07    0.0007   16.6   0.0   107   149   281   325   271   332 0.86 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 2233at5820           -            734   1.2e-19   68.7   9.9   2   3   4.2e-19   4.5e-16   56.9   0.7   214   336   331   452   325   461 0.93 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 2233at5820           -            734   1.2e-19   68.7   9.9   3   3     0.094     1e+02   -0.5   0.1   404   440   475   506   463   514 0.78 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 2233at5820           -            734     2e-18   64.7   5.0   1   2   4.2e-07   0.00045   17.2   0.1   114   216   206   311   199   316 0.75 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 2233at5820           -            734     2e-18   64.7   5.0   2   2   6.6e-17   7.1e-14   49.6   2.1   236   353   310   432   280   438 0.79 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
