#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720833.1         -           1530 1876at5820           -           1075         0 1507.9 164.8   1   9  3.9e-124  2.5e-120  401.6  36.5     8   227    28   249    22   257 0.95 | transcript=PVPAM_100009800_t1 | gene=PVPAM_100009800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:230767-235359(+) | protein_length=1530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720833.1         -           1530 1876at5820           -           1075         0 1507.9 164.8   2   9   1.4e-09   9.3e-06   22.3   0.7   224   248   284   308   282   312 0.90 | transcript=PVPAM_100009800_t1 | gene=PVPAM_100009800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:230767-235359(+) | protein_length=1530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720833.1         -           1530 1876at5820           -           1075         0 1507.9 164.8   3   9   2.3e-27   1.5e-23   81.2   5.0   242   299   323   380   321   394 0.94 | transcript=PVPAM_100009800_t1 | gene=PVPAM_100009800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:230767-235359(+) | protein_length=1530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720833.1         -           1530 1876at5820           -           1075         0 1507.9 164.8   4   9   3.6e-51   2.3e-47  160.0   5.8   295   391   407   505   403   532 0.94 | transcript=PVPAM_100009800_t1 | gene=PVPAM_100009800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:230767-235359(+) | protein_length=1530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720833.1         -           1530 1876at5820           -           1075         0 1507.9 164.8   5   9   1.5e-64   9.7e-61  204.3  13.2   390   552   595   786   592   792 0.89 | transcript=PVPAM_100009800_t1 | gene=PVPAM_100009800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:230767-235359(+) | protein_length=1530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720833.1         -           1530 1876at5820           -           1075         0 1507.9 164.8   6   9     4e-69   2.6e-65  219.5  15.3   555   694   822   965   808   968 0.91 | transcript=PVPAM_100009800_t1 | gene=PVPAM_100009800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:230767-235359(+) | protein_length=1530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720833.1         -           1530 1876at5820           -           1075         0 1507.9 164.8   7   9   0.00041       2.6    4.2   0.0   695   713   997  1015   990  1021 0.89 | transcript=PVPAM_100009800_t1 | gene=PVPAM_100009800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:230767-235359(+) | protein_length=1530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720833.1         -           1530 1876at5820           -           1075         0 1507.9 164.8   8   9   1.6e-83     1e-79  267.2  16.3   712   933  1059  1306  1040  1339 0.90 | transcript=PVPAM_100009800_t1 | gene=PVPAM_100009800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:230767-235359(+) | protein_length=1530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720833.1         -           1530 1876at5820           -           1075         0 1507.9 164.8   9   9   1.1e-59   6.8e-56  188.3  16.9   944  1075  1372  1524  1364  1524 0.89 | transcript=PVPAM_100009800_t1 | gene=PVPAM_100009800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:230767-235359(+) | protein_length=1530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1876at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1876at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1876at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:06 2026
# [ok]
