#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721102.1         -            328 13894at5820          -            261  5.2e-120  398.7  87.2   1   2  1.3e-104  3.5e-102  340.2  54.6     1   207     7   245     7   246 0.92 | transcript=PVPAM_100037000_t1 | gene=PVPAM_100037000 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=CASCJQ010000010:1378622-1379608(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721102.1         -            328 13894at5820          -            261  5.2e-120  398.7  87.2   2   2   2.1e-20   5.5e-18   64.2  31.5   182   258   233   313   228   316 0.86 | transcript=PVPAM_100037000_t1 | gene=PVPAM_100037000 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=CASCJQ010000010:1378622-1379608(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720552.1         -           1054 13894at5820          -            261   6.8e-30  103.3  30.7   1   1   2.5e-32   6.8e-30  103.3  30.7     6   220     6   222     2   228 0.69 | transcript=PVPAM_090031800_t1 | gene=PVPAM_090031800 | organism=Plasmodium_vivax_PAM | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=CASCJQ010000009:1220788-1223952(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 13894at5820          -            261   6.7e-16   57.4   3.8   1   4   2.9e-06   0.00079   17.9   0.0     7    76    17    86    13   100 0.92 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 13894at5820          -            261   6.7e-16   57.4   3.8   2   4   0.00018     0.048   12.0   0.2    20    79   118   176    99   195 0.82 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 13894at5820          -            261   6.7e-16   57.4   3.8   3   4     0.002      0.55    8.5   0.1    24    73   211   258   193   275 0.77 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 13894at5820          -            261   6.7e-16   57.4   3.8   4   4   7.5e-06     0.002   16.5   0.0     2    91   445   531   444   551 0.85 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 13894at5820          -            261   4.6e-12   44.8   0.8   1   1     2e-14   5.5e-12   44.6   0.8    24    84    26    86    18   118 0.81 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 13894at5820          -            261   1.1e-09   37.1   9.8   1   4   0.00021     0.058   11.7   0.1    22    80    34    87    16   103 0.84 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 13894at5820          -            261   1.1e-09   37.1   9.8   2   4   1.2e-06   0.00033   19.1   0.1    24    82   136   194   128   206 0.86 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 13894at5820          -            261   1.1e-09   37.1   9.8   3   4   0.00035     0.094   11.0   0.1    22    79   225   281   206   303 0.75 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 13894at5820          -            261   1.1e-09   37.1   9.8   4   4         4   1.1e+03   -2.3   0.2   114   146   355   387   344   391 0.75 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720963.1         -            314 13894at5820          -            261   1.2e-09   36.9  58.2   1   2   1.7e-10   4.5e-08   31.7   0.1    16   113    18   111     5   131 0.80 | transcript=PVPAM_100023100_t1 | gene=PVPAM_100023100 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=CASCJQ010000010:798029-799180(+) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720963.1         -            314 13894at5820          -            261   1.2e-09   36.9  58.2   2   2      0.02       5.3    5.3  53.6    47   199   144   304   141   314 0.77 | transcript=PVPAM_100023100_t1 | gene=PVPAM_100023100 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=CASCJQ010000010:798029-799180(+) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 13894at5820          -            261   3.8e-09   35.3   0.1   1   3       6.5   1.7e+03   -2.9   2.0   227   250   195   218   161   236 0.50 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 13894at5820          -            261   3.8e-09   35.3   0.1   2   3   2.7e-05    0.0072   14.7   3.2    10    83   367   439   363   497 0.84 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 13894at5820          -            261   3.8e-09   35.3   0.1   3   3   1.4e-11   3.8e-09   35.3   0.1     7    82   664   740   659   752 0.89 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723072.1         -            107 13894at5820          -            261     1e-08   33.9   0.1   1   1   4.1e-11   1.1e-08   33.8   0.1    13    79    30    96    22   107 0.85 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 13894at5820          -            261   8.2e-07   27.6   0.5   1   2   2.9e-06   0.00078   17.9   0.0     2    78    16    92    15   105 0.89 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 13894at5820          -            261   8.2e-07   27.6   0.5   2   2    0.0029      0.79    8.0   0.2     8    87   109   187   101   199 0.86 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 13894at5820          -            261     1e-05   24.0   0.5   1   2       5.9   1.6e+03   -2.8   0.1   214   231   134   151   108   178 0.61 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 13894at5820          -            261     1e-05   24.0   0.5   2   2   7.9e-08   2.1e-05   23.0   0.0     6    87   308   393   290   441 0.87 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719920.1         -            322 13894at5820          -            261   1.3e-05   23.7  52.1   1   1   4.7e-08   1.3e-05   23.7  52.1     2   235    86   308    85   321 0.57 | transcript=PVPAM_080014300_t1 | gene=PVPAM_080014300 | organism=Plasmodium_vivax_PAM | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=CASCJQ010000008:471177-474279(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720595.1         -            156 13894at5820          -            261   2.2e-05   22.9  14.1   1   1   1.7e-07   4.5e-05   21.9  14.1     8   139     6   151     3   156 0.67 | transcript=PVPAM_090035900_t1 | gene=PVPAM_090035900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=CASCJQ010000009:1371439-1371909(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 13894at5820          -            261   2.6e-05   22.7   0.4   1   2     0.014       3.9    5.8   0.0    25    67    26    67     8    76 0.82 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 13894at5820          -            261   2.6e-05   22.7   0.4   2   2   2.1e-05    0.0056   15.1   0.1    25    81   174   229   167   238 0.83 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719178.1         -            531 13894at5820          -            261   3.3e-05   22.4   5.1   1   2   1.2e-07   3.3e-05   22.4   5.1    22   106    29   112    17   135 0.88 | transcript=PVPAM_060018500_t1 | gene=PVPAM_060018500 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=CASCJQ010000006:592961-595690(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719178.1         -            531 13894at5820          -            261   3.3e-05   22.4   5.1   2   2     0.039        10    4.3  45.7    42   226   141   328   122   336 0.63 | transcript=PVPAM_060018500_t1 | gene=PVPAM_060018500 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=CASCJQ010000006:592961-595690(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 13894at5820          -            261   5.3e-05   21.7  16.4   1   3    0.0072       1.9    6.7   0.0    21    69   103   151    85   160 0.88 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 13894at5820          -            261   5.3e-05   21.7  16.4   2   3   0.00018     0.049   12.0   0.0    18    71   199   252   185   273 0.83 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 13894at5820          -            261   5.3e-05   21.7  16.4   3   3   0.00097      0.26    9.6   0.0    26    87   392   452   385   483 0.77 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719779.1         -            721 13894at5820          -            261   0.00018   20.0   0.0   1   1   1.4e-06   0.00038   18.9   0.0     6    83     7    84     3    89 0.93 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 13894at5820          -            261    0.0011   17.4   6.4   1   3       1.6   4.2e+02   -0.9   0.0    80   105    21    47    12    63 0.75 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 13894at5820          -            261    0.0011   17.4   6.4   2   3   2.7e-05    0.0073   14.7   1.2    23    84    63   118    48   145 0.75 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 13894at5820          -            261    0.0011   17.4   6.4   3   3     0.035       9.3    4.5   0.1    25    81   229   284   222   287 0.85 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 13894at5820          -            261    0.0013   17.2   0.1   1   2   4.7e-06    0.0013   17.2   0.1     3    79   115   189   113   211 0.84 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 13894at5820          -            261    0.0013   17.2   0.1   2   2     0.021       5.5    5.2   0.1    20    79   216   273   201   296 0.75 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 13894at5820          -            261    0.0024   16.3   0.2   1   1   1.1e-05    0.0031   15.9   0.2     8    80    16    85    11   108 0.85 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 13894at5820          -            261    0.0031   15.9   0.0   1   2   1.1e-05    0.0031   15.9   0.0     8    78    31   101    25   116 0.89 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 13894at5820          -            261    0.0031   15.9   0.0   2   2       6.5   1.7e+03   -2.9   2.7   176   213   162   200   153   222 0.45 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722192.1         -            914 13894at5820          -            261    0.0033   15.8   0.0   1   1   1.2e-05    0.0033   15.8   0.0     8    88   679   759   674   765 0.93 | transcript=PVPAM_120043000_t1 | gene=PVPAM_120043000 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=CASCJQ010000012:1485281-1488025(+) | protein_length=914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 13894at5820          -            261    0.0046   15.3   0.0   1   1     3e-05    0.0081   14.5   0.0     7    65    72   130    66   167 0.87 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718904.1         -            236 13894at5820          -            261    0.0066   14.8   0.0   1   3       2.2   5.9e+02   -1.4   0.7   171   188     3    20     1    35 0.73 | transcript=PVPAM_050029600_t1 | gene=PVPAM_050029600 | organism=Plasmodium_vivax_PAM | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=CASCJQ010000005:1023050-1023894(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
