#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722154.1         -            543 6066at5820           -            462  1.4e-233  774.2  54.1   1   2   5.2e-76   4.2e-73  245.1  19.2     1   189    26   243    26   249 0.89 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 6066at5820           -            462  1.4e-233  774.2  54.1   2   2  5.5e-164  4.5e-161  535.2  27.3   176   462   251   543   240   543 0.96 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 6066at5820           -            462   3.8e-38  129.9   5.2   1   3   8.5e-17   6.9e-14   49.9   0.1   316   437    22   137    16   157 0.81 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 6066at5820           -            462   3.8e-38  129.9   5.2   2   3   3.6e-08   2.9e-05   21.5   1.1    44   195    78   228    73   264 0.75 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 6066at5820           -            462   3.8e-38  129.9   5.2   3   3   2.8e-24   2.3e-21   74.6   0.0   289   432   318   454   309   478 0.83 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 6066at5820           -            462   1.7e-14   51.9  11.0   1   2   4.6e-06    0.0037   14.5   3.8   341   452    46   149    31   158 0.63 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 6066at5820           -            462   1.7e-14   51.9  11.0   2   2   4.1e-14   3.3e-11   41.1   1.4   315   460   155   296   149   298 0.75 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719635.1         -            518 6066at5820           -            462     2e-10   38.5   0.3   1   2      0.92   7.4e+02   -2.9   0.1    90    95   142   147    83   192 0.48 | transcript=PVPAM_070024900_t1 | gene=PVPAM_070024900 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase PDI-Trans, putative | transcript_product=protein disulfide-isomerase PDI-Trans, putative | location=CASCJQ010000007:888661-890583(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719635.1         -            518 6066at5820           -            462     2e-10   38.5   0.3   2   2   2.5e-13     2e-10   38.5   0.3   279   416   354   487   346   517 0.87 | transcript=PVPAM_070024900_t1 | gene=PVPAM_070024900 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase PDI-Trans, putative | transcript_product=protein disulfide-isomerase PDI-Trans, putative | location=CASCJQ010000007:888661-890583(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722312.1         -            104 6066at5820           -            462   1.5e-06   25.7   0.0   1   1     2e-09   1.6e-06   25.6   0.0   327   377     2    49     1   100 0.77 | transcript=PVPAM_120054900_t1 | gene=PVPAM_120054900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=CASCJQ010000012:2015654-2016102(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720377.1         -            549 6066at5820           -            462   4.1e-06   24.3  17.3   1   3   2.8e-06    0.0023   15.2   3.3   316   378   174   235   167   243 0.82 | transcript=PVPAM_090014200_t1 | gene=PVPAM_090014200 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=CASCJQ010000009:506315-507964(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
