#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722939.1         -            563 5494at5820           -            442  2.3e-257  852.4  15.6   1   2   1.2e-73   1.3e-70  237.0   0.4     1   118    47   171    47   181 0.96 | transcript=PVPAM_130044100_t1 | gene=PVPAM_130044100 | organism=Plasmodium_vivax_PAM | gene_product=glutathione reductase, putative | transcript_product=glutathione reductase, putative | location=CASCJQ010000013:1696551-1698708(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722939.1         -            563 5494at5820           -            442  2.3e-257  852.4  15.6   2   2  1.1e-189  1.2e-186  619.5   9.2   116   442   201   563   188   563 0.95 | transcript=PVPAM_130044100_t1 | gene=PVPAM_130044100 | organism=Plasmodium_vivax_PAM | gene_product=glutathione reductase, putative | transcript_product=glutathione reductase, putative | location=CASCJQ010000013:1696551-1698708(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719679.1         -            546 5494at5820           -            442   8.4e-65  217.9   0.0   1   2   1.3e-38   1.4e-35  121.6   0.0     3   274    46   365    44   368 0.78 | transcript=PVPAM_070029300_t1 | gene=PVPAM_070029300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin reductase, putative | transcript_product=thioredoxin reductase, putative | location=CASCJQ010000007:1058352-1059992(-) | protein_length=546 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719679.1         -            546 5494at5820           -            442   8.4e-65  217.9   0.0   2   2   2.3e-30   2.5e-27   94.4   0.0   297   437   369   524   363   527 0.85 | transcript=PVPAM_070029300_t1 | gene=PVPAM_070029300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin reductase, putative | transcript_product=thioredoxin reductase, putative | location=CASCJQ010000007:1058352-1059992(-) | protein_length=546 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723661.1         -            512 5494at5820           -            442   2.4e-29  101.0  10.7   1   1   3.7e-31   3.9e-28   97.0  10.7     3   434    25   498    23   506 0.72 | transcript=PVPAM_140058500_t1 | gene=PVPAM_140058500 | organism=Plasmodium_vivax_PAM | gene_product=dihydrolipoyl dehydrogenase, mitochondrial, putative | transcript_product=dihydrolipoyl dehydrogenase, mitochondrial, putative | location=CASCJQ010000014:2319650-2321466(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718878.1         -            666 5494at5820           -            442   1.7e-17   62.0  15.6   1   2   5.3e-11   5.8e-08   30.5   7.9     3   172   117   331   115   345 0.64 | transcript=PVPAM_050027000_t1 | gene=PVPAM_050027000 | organism=Plasmodium_vivax_PAM | gene_product=dihydrolipoyl dehydrogenase, apicoplast, putative | transcript_product=dihydrolipoyl dehydrogenase, apicoplast, putative | location=CASCJQ010000005:926280-928280(-) | protein_length=666 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718878.1         -            666 5494at5820           -            442   1.7e-17   62.0  15.6   2   2   5.5e-09   5.9e-06   23.9   0.8   224   433   414   652   408   657 0.69 | transcript=PVPAM_050027000_t1 | gene=PVPAM_050027000 | organism=Plasmodium_vivax_PAM | gene_product=dihydrolipoyl dehydrogenase, apicoplast, putative | transcript_product=dihydrolipoyl dehydrogenase, apicoplast, putative | location=CASCJQ010000005:926280-928280(-) | protein_length=666 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718207.1         -            689 5494at5820           -            442    0.0011   16.5   0.3   1   2     0.022        24    2.1   0.0   151   174   395   418   378   431 0.82 | transcript=PVPAM_030020700_t1 | gene=PVPAM_030020700 | organism=Plasmodium_vivax_PAM | gene_product=apoptosis-inducing factor, putative | transcript_product=apoptosis-inducing factor, putative | location=CASCJQ010000003:669616-671685(+) | protein_length=689 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718207.1         -            689 5494at5820           -            442    0.0011   16.5   0.3   2   2   3.1e-05     0.033   11.6   0.1   227   331   502   599   486   641 0.73 | transcript=PVPAM_030020700_t1 | gene=PVPAM_030020700 | organism=Plasmodium_vivax_PAM | gene_product=apoptosis-inducing factor, putative | transcript_product=apoptosis-inducing factor, putative | location=CASCJQ010000003:669616-671685(+) | protein_length=689 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723775.1         -            864 5494at5820           -            442      0.02   12.3   0.2   1   1   3.3e-05     0.036   11.4   0.2     3    39    75   113    73   137 0.77 | transcript=PVPAM_140069800_t1 | gene=PVPAM_140069800 | organism=Plasmodium_vivax_PAM | gene_product=glucose inhibited division protein a homologue, putative | transcript_product=glucose inhibited division protein a homologue, putative | location=CASCJQ010000014:2761271-2764172(-) | protein_length=864 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5494at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5494at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5494at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:57 2026
# [ok]
