#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719254.1         -           1504 1709at5820           -            999         0 1632.4  86.7   1   8   4.3e-75   1.4e-71  240.0   3.7     1   143     3   164     3   169 0.89 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 1709at5820           -            999         0 1632.4  86.7   2   8   4.3e-24   1.4e-20   71.2   0.3   143   192   318   367   309   382 0.91 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 1709at5820           -            999         0 1632.4  86.7   3   8  5.2e-112  1.7e-108  362.3  16.2   207   410   413   637   390   644 0.90 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 1709at5820           -            999         0 1632.4  86.7   4   8   8.1e-48   2.6e-44  149.8   1.4   411   502   678   770   676   780 0.95 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 1709at5820           -            999         0 1632.4  86.7   5   8    9e-125  2.9e-121  404.5  11.4   501   741   845  1099   836  1103 0.94 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 1709at5820           -            999         0 1632.4  86.7   6   8     1e-92   3.3e-89  298.4   6.8   738   901  1164  1338  1158  1342 0.93 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 1709at5820           -            999         0 1632.4  86.7   7   8   3.9e-21   1.2e-17   61.5   0.6   900   940  1373  1413  1371  1417 0.95 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 1709at5820           -            999         0 1632.4  86.7   8   8   5.1e-25   1.6e-21   74.3   0.0   938   988  1435  1488  1431  1502 0.88 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719560.1         -           1463 1709at5820           -            999   1.1e-10   38.4  72.5   1   5     0.011        37    0.3   0.0    55    76   129   150   127   156 0.89 | transcript=PVPAM_070017400_t1 | gene=PVPAM_070017400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:622583-626974(-) | protein_length=1463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719560.1         -           1463 1709at5820           -            999   1.1e-10   38.4  72.5   2   5   1.5e-09   4.9e-06   23.1  27.1   193   461   232   514   179   524 0.68 | transcript=PVPAM_070017400_t1 | gene=PVPAM_070017400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:622583-626974(-) | protein_length=1463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719560.1         -           1463 1709at5820           -            999   1.1e-10   38.4  72.5   3   5     1e-08   3.3e-05   20.3  15.5   566   689   835   955   826   982 0.89 | transcript=PVPAM_070017400_t1 | gene=PVPAM_070017400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:622583-626974(-) | protein_length=1463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719560.1         -           1463 1709at5820           -            999   1.1e-10   38.4  72.5   4   5   2.2e-05      0.07    9.3   5.2   771   835  1111  1177  1103  1266 0.59 | transcript=PVPAM_070017400_t1 | gene=PVPAM_070017400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:622583-626974(-) | protein_length=1463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719560.1         -           1463 1709at5820           -            999   1.1e-10   38.4  72.5   5   5     0.089   2.9e+02   -2.6   0.2   902   927  1331  1356  1326  1364 0.87 | transcript=PVPAM_070017400_t1 | gene=PVPAM_070017400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:622583-626974(-) | protein_length=1463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1709at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1709at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1709at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:15 2026
# [ok]
