#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719981.1         -            966 3405at5820           -            606         0 1052.8 154.0   1   6  8.4e-117  1.4e-113  379.2  42.4     1   214    29   254    29   264 0.94 | transcript=PVPAM_080020300_t1 | gene=PVPAM_080020300 | organism=Plasmodium_vivax_PAM | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=CASCJQ010000008:721786-724686(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719981.1         -            966 3405at5820           -            606         0 1052.8 154.0   2   6   2.1e-57   3.4e-54  183.0  16.2   206   316   282   391   273   397 0.96 | transcript=PVPAM_080020300_t1 | gene=PVPAM_080020300 | organism=Plasmodium_vivax_PAM | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=CASCJQ010000008:721786-724686(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719981.1         -            966 3405at5820           -            606         0 1052.8 154.0   3   6   7.5e-07    0.0012   16.0   0.8   309   338   451   480   437   489 0.83 | transcript=PVPAM_080020300_t1 | gene=PVPAM_080020300 | organism=Plasmodium_vivax_PAM | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=CASCJQ010000008:721786-724686(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719981.1         -            966 3405at5820           -            606         0 1052.8 154.0   4   6   5.1e-16   8.2e-13   46.3   4.3   327   376   512   565   498   574 0.80 | transcript=PVPAM_080020300_t1 | gene=PVPAM_080020300 | organism=Plasmodium_vivax_PAM | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=CASCJQ010000008:721786-724686(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719981.1         -            966 3405at5820           -            606         0 1052.8 154.0   5   6   0.00026      0.41    7.7   1.7   371   406   666   697   654   723 0.76 | transcript=PVPAM_080020300_t1 | gene=PVPAM_080020300 | organism=Plasmodium_vivax_PAM | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=CASCJQ010000008:721786-724686(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719981.1         -            966 3405at5820           -            606         0 1052.8 154.0   6   6    3e-138  4.9e-135  450.0  50.4   383   606   742   966   717   966 0.96 | transcript=PVPAM_080020300_t1 | gene=PVPAM_080020300 | organism=Plasmodium_vivax_PAM | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=CASCJQ010000008:721786-724686(+) | protein_length=966 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722932.1         -           1024 3405at5820           -            606   3.6e-09   34.3  97.3   1   2   8.5e-06     0.014   12.6  47.7    30   290    31   294     6   313 0.63 | transcript=PVPAM_130043400_t1 | gene=PVPAM_130043400 | organism=Plasmodium_vivax_PAM | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=CASCJQ010000013:1668946-1672020(+) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722932.1         -           1024 3405at5820           -            606   3.6e-09   34.3  97.3   2   2   3.9e-07   0.00063   17.0  41.5   383   597   779  1010   758  1015 0.72 | transcript=PVPAM_130043400_t1 | gene=PVPAM_130043400 | organism=Plasmodium_vivax_PAM | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=CASCJQ010000013:1668946-1672020(+) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722675.1         -            103 3405at5820           -            606      0.27    8.3   5.6   1   1   0.00017      0.28    8.2   5.6   302   382    11    94     1   102 0.71 | transcript=PVPAM_130017600_t1 | gene=PVPAM_130017600 | organism=Plasmodium_vivax_PAM | gene_product=signal recognition particle subunit SRP14, putative | transcript_product=signal recognition particle subunit SRP14, putative | location=CASCJQ010000013:583100-583676(+) | protein_length=103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720720.1         -            324 3405at5820           -            606       0.5    7.4   4.4   1   1   0.00043      0.69    6.9   4.4   329   381   233   287   204   298 0.77 | transcript=PVPAM_090048500_t1 | gene=PVPAM_090048500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1961383-1962357(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3405at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:44 2026
# [ok]
