#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723717.1         -            511 8027at5820           -            404  4.6e-198  656.8  24.0   1   2   9.8e-79     2e-76  256.2  12.3     3   182    17   230    15   247 0.86 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 8027at5820           -            404  4.6e-198  656.8  24.0   2   2  3.5e-124  7.1e-122  405.9   3.8   173   404   269   511   260   511 0.93 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8027at5820           -            404     7e-19   66.7  16.0   1   5    0.0025      0.51    7.8   0.0   206   270    22    85     4    90 0.84 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8027at5820           -            404     7e-19   66.7  16.0   2   5   5.6e-06    0.0011   16.6   0.0   203   265    61   122    44   130 0.82 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8027at5820           -            404     7e-19   66.7  16.0   3   5     4e-08   8.2e-06   23.6   0.7   187   266    88   165    81   177 0.87 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8027at5820           -            404     7e-19   66.7  16.0   4   5   6.7e-14   1.4e-11   42.7   0.8   178   268   231   324   207   336 0.83 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8027at5820           -            404     7e-19   66.7  16.0   5   5      0.82   1.7e+02   -0.4   1.6   233   313   541   621   534   643 0.83 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8027at5820           -            404   4.1e-18   64.2   9.3   1   3     0.071        14    3.1   0.1   190   223    18    52     3    55 0.82 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8027at5820           -            404   4.1e-18   64.2   9.3   2   3     1e-12     2e-10   38.8   0.2   182   264    61   141    53   151 0.86 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8027at5820           -            404   4.1e-18   64.2   9.3   3   3   1.3e-07   2.7e-05   21.9   0.5   190   348   154   317   144   320 0.78 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 8027at5820           -            404   4.6e-17   60.7   9.7   1   6       1.8   3.7e+02   -1.6   4.9     4    50   159   182   124   206 0.63 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
