#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719950.1         -           1547 1130at5820           -           1077         0 2101.1  33.7   1   2   6.9e-11   6.3e-08   29.4   1.3     1    71     1    77     1   123 0.47 | transcript=PVPAM_080017300_t1 | gene=PVPAM_080017300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=CASCJQ010000008:591895-596538(-) | protein_length=1547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719950.1         -           1547 1130at5820           -           1077         0 2101.1  33.7   2   2         0         0 2072.9  25.2    23  1067   163  1506   150  1516 0.91 | transcript=PVPAM_080017300_t1 | gene=PVPAM_080017300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=CASCJQ010000008:591895-596538(-) | protein_length=1547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 1130at5820           -           1077   4.6e-74  248.4   0.3   1   5         7   6.5e+03   -8.8  12.4   963  1033    63   132    38   152 0.58 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 1130at5820           -           1077   4.6e-74  248.4   0.3   2   5         7   6.5e+03  -10.0  12.3    33   102   346   420   322   448 0.41 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 1130at5820           -           1077   4.6e-74  248.4   0.3   3   5         1   9.2e+02   -4.2   8.6    19   106   718   808   689   847 0.40 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 1130at5820           -           1077   4.6e-74  248.4   0.3   4   5      0.21   1.9e+02   -1.9   0.4   985  1029  1320  1364  1287  1392 0.75 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717656.1         -           2319 1130at5820           -           1077   4.6e-74  248.4   0.3   5   5     5e-77   4.6e-74  248.4   0.3   484   902  1801  2207  1776  2212 0.86 | transcript=PVPAM_010016600_t1 | gene=PVPAM_010016600 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=CASCJQ010000001:526960-533919(+) | protein_length=2319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720357.1         -           1064 1130at5820           -           1077   1.4e-50  170.6  23.7   1   3      0.28   2.6e+02   -2.4   2.0   200   264   108   178    56   203 0.61 | transcript=PVPAM_090012200_t1 | gene=PVPAM_090012200 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=CASCJQ010000009:403249-406443(-) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720357.1         -           1064 1130at5820           -           1077   1.4e-50  170.6  23.7   2   3   1.9e-31   1.8e-28   97.5   6.4   494   747   369   652   352   669 0.72 | transcript=PVPAM_090012200_t1 | gene=PVPAM_090012200 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=CASCJQ010000009:403249-406443(-) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720357.1         -           1064 1130at5820           -           1077   1.4e-50  170.6  23.7   3   3   2.9e-27   2.7e-24   83.6   0.9   789   909   909  1035   901  1053 0.87 | transcript=PVPAM_090012200_t1 | gene=PVPAM_090012200 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=CASCJQ010000009:403249-406443(-) | protein_length=1064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   1   5       3.3   3.1e+03   -5.9   5.8    31   107  1406  1486  1396  1513 0.56 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   2   5   6.9e-08   6.4e-05   19.5   0.0   491   531  1748  1790  1707  1800 0.74 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   3   5     0.012        11    2.2   0.0   539   563  1825  1849  1812  1853 0.85 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   4   5   1.4e-33   1.3e-30  104.6   2.1   584   871  2058  2365  2047  2377 0.79 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   5   5   1.1e-09     1e-06   25.5   0.1   857   908  2434  2482  2424  2582 0.88 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1130at5820           -           1077   4.8e-25   86.1  38.5   1   6       1.2   1.1e+03   -4.5   6.2    38   123   243   328   204   351 0.54 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 1130at5820           -           1077   4.8e-25   86.1  38.5   2   6   2.2e-06    0.0021   14.5   0.0   493   534   621   663   613   676 0.81 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
