#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718440.1         -            946 6510at5820           -            617  1.9e-258  858.0 102.7   1   5   7.1e-81   1.5e-77  260.4  30.4     2   215     6   247     5   254 0.88 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 6510at5820           -            617  1.9e-258  858.0 102.7   2   5   5.9e-33   1.3e-29  102.2   1.1   214   279   368   439   365   444 0.93 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 6510at5820           -            617  1.9e-258  858.0 102.7   3   5   6.4e-99   1.4e-95  320.1  31.3   282   485   547   755   528   760 0.93 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 6510at5820           -            617  1.9e-258  858.0 102.7   4   5   1.5e-55   3.3e-52  176.8   8.4   477   599   769   896   759   900 0.92 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 6510at5820           -            617  1.9e-258  858.0 102.7   5   5   1.3e-07   0.00028   18.5   1.2   595   617   924   946   918   946 0.93 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 6510at5820           -            617   1.2e-13   49.4  92.5   1   4   0.00055       1.2    6.5  21.9    18   149    30   170    12   179 0.64 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 6510at5820           -            617   1.2e-13   49.4  92.5   2   4   2.3e-08     5e-05   20.9   9.6   183   273   173   274   163   289 0.71 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 6510at5820           -            617   1.2e-13   49.4  92.5   3   4     3e-09   6.6e-06   23.8  31.5   278   481   418   630   408   639 0.75 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 6510at5820           -            617   1.2e-13   49.4  92.5   4   4   1.2e-06    0.0025   15.3   8.1   490   596   702   823   686   830 0.73 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 6510at5820           -            617   5.3e-06   24.1  29.9   1   5      0.54   1.2e+03   -3.4   4.8    23    64    11    49     5    90 0.64 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 6510at5820           -            617   5.3e-06   24.1  29.9   2   5         3   6.5e+03  -10.9  14.6    88   168   129   211   118   235 0.48 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
