#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721511.1         -           1598 2625at5820           -           1265         0 1645.8  25.7   1   1         0         0 1645.6  25.7     1  1265     1  1598     1  1598 0.75 | transcript=PVPAM_110041600_t1 | gene=PVPAM_110041600 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000011:1515882-1521690(+) | protein_length=1598 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 2625at5820           -           1265    0.0001   18.9   6.9   1   2     0.016       3.7    3.8   0.3   230   262    37    69    35    77 0.81 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 2625at5820           -           1265    0.0001   18.9   6.9   2   2   7.4e-07   0.00017   18.1   0.8    27    70    95   138    89   139 0.94 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717667.1         -           3830 2625at5820           -           1265   0.00015   18.4   8.8   1   2      0.12        28    0.9  25.8   324   631   464   881   458   941 0.29 | transcript=PVPAM_010017700_t1 | gene=PVPAM_010017700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=CASCJQ010000001:607785-620736(-) | protein_length=3830 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717667.1         -           3830 2625at5820           -           1265   0.00015   18.4   8.8   2   2   6.4e-07   0.00015   18.4   8.8   353   720  1610  2136  1561  2218 0.35 | transcript=PVPAM_010017700_t1 | gene=PVPAM_010017700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=CASCJQ010000001:607785-620736(-) | protein_length=3830 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722827.1         -           1676 2625at5820           -           1265   0.00033   17.2  47.0   1   2       1.6   3.6e+02   -2.8   0.5   691   760    67   110     6   145 0.33 | transcript=PVPAM_130032900_t1 | gene=PVPAM_130032900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:1275657-1280876(-) | protein_length=1676 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722827.1         -           1676 2625at5820           -           1265   0.00033   17.2  47.0   2   2   1.4e-06   0.00033   17.2  47.0   376   605   527   790   453   884 0.38 | transcript=PVPAM_130032900_t1 | gene=PVPAM_130032900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:1275657-1280876(-) | protein_length=1676 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720939.1         -            739 2625at5820           -           1265    0.0019   14.7  23.9   1   1   9.4e-06    0.0022   14.5  23.9   380   562   386   597   202   707 0.50 | transcript=PVPAM_100020700_t1 | gene=PVPAM_100020700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:696076-698295(-) | protein_length=739 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722718.1         -            360 2625at5820           -           1265    0.0034   13.8  35.7   1   1   1.8e-05    0.0042   13.6  35.7   395   548    60   230    17   358 0.31 | transcript=PVPAM_130021900_t1 | gene=PVPAM_130021900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:763412-764644(+) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722901.1         -           1488 2625at5820           -           1265    0.0043   13.5  58.3   1   2   2.9e-06   0.00067   16.2  10.2   356   459   416   520   362   832 0.61 | transcript=PVPAM_130040300_t1 | gene=PVPAM_130040300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1560476-1564942(+) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722901.1         -           1488 2625at5820           -           1265    0.0043   13.5  58.3   2   2     0.025       5.7    3.2  40.0   363   619   941  1307   915  1363 0.31 | transcript=PVPAM_130040300_t1 | gene=PVPAM_130040300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1560476-1564942(+) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
