#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3   1  10  7.2e-271  7.7e-268  890.5  34.0     1   452    52   511    52   538 0.97 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3   2  10     1e-31   1.1e-28   97.2   2.6   457   551   674   776   641   798 0.66 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3   3  10   3.1e-47   3.3e-44  148.6   9.2   522   650  1006  1141   990  1188 0.81 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3   4  10    0.0003      0.32    6.0  14.7   633   688  1248  1303  1190  1337 0.68 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3   5  10   1.3e-66   1.4e-63  212.9   0.5   684   805  1399  1520  1377  1528 0.93 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3   6  10         0         0 1184.4  39.7   789  1343  1625  2186  1620  2201 0.98 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3   7  10  3.3e-302  3.5e-299  994.5  20.5  1339  1794  2470  2939  2457  2946 0.97 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3   8  10    7e-135  7.6e-132  439.4  13.4  1792  2049  2989  3268  2977  3283 0.92 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3   9  10   1.9e-25     2e-22   76.3  10.9  2041  2108  3293  3362  3277  3368 0.92 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 100at5820            -           2613         0 5130.3 235.3  10  10         0         0 1134.1  20.1  2108  2597  3446  3936  3431  3944 0.98 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721252.1         -           3144 100at5820            -           2613  7.5e-176  585.3 171.3   1   7   1.1e-36   1.2e-33  113.5  22.9    19   373    31   375    18   390 0.86 | transcript=PVPAM_110015400_t1 | gene=PVPAM_110015400 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=CASCJQ010000011:420051-432122(-) | protein_length=3144 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
