#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718964.1         -           1809 1976at5820           -           1181         0 1655.9   5.8   1   2  1.9e-122  7.9e-120  400.2   0.0    11   336    54   632    45   645 0.87 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718964.1         -           1809 1976at5820           -           1181         0 1655.9   5.8   2   2         0         0 1239.4  16.4   336  1181   664  1809   643  1809 0.88 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 1976at5820           -           1181   4.3e-08   30.1  20.4   1   4   0.00017      0.07    9.5   1.9   361   413    99   148    89   189 0.72 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 1976at5820           -           1181   4.3e-08   30.1  20.4   2   4     0.013       5.2    3.3   1.3   286   315   220   249   186   256 0.71 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 1976at5820           -           1181   4.3e-08   30.1  20.4   3   4   5.6e-09   2.3e-06   24.4   0.3   285   322   273   308   252   330 0.83 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 1976at5820           -           1181   4.3e-08   30.1  20.4   4   4     0.075        30    0.8   0.3   280   307   327   354   314   358 0.73 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 1976at5820           -           1181   3.9e-07   26.9  16.7   1   7    0.0009      0.36    7.1   0.0   357   393   229   265   213   277 0.58 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 1976at5820           -           1181   3.9e-07   26.9  16.7   2   7   0.00063      0.25    7.7   0.7   533   567   359   395   351   421 0.77 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 1976at5820           -           1181   3.9e-07   26.9  16.7   3   7      0.79   3.2e+02   -2.6   0.1   363   393   628   658   626   663 0.85 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 1976at5820           -           1181   3.9e-07   26.9  16.7   4   7   0.00061      0.25    7.7   0.6   286   323   684   721   676   731 0.88 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 1976at5820           -           1181   3.9e-07   26.9  16.7   5   7     0.002       0.8    6.0   0.0   531   566   798   832   792   838 0.89 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
