#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718894.1         -            361 9305at5820           -            273  2.2e-162  537.2  23.0   1   2     0.014       3.9    5.1   9.4     1    25    46    78    46    88 0.74 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 9305at5820           -            273  2.2e-162  537.2  23.0   2   2  4.4e-164  1.2e-161  534.8   9.8    18   273    88   353    76   353 0.96 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 9305at5820           -            273   7.7e-24   82.9   0.3   1   4   1.3e-09   3.8e-07   28.1   0.0    44   102    88   146    78   156 0.91 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 9305at5820           -            273   7.7e-24   82.9   0.3   2   4   1.9e-10   5.4e-08   30.9   0.0    43   112   186   252   177   256 0.92 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 9305at5820           -            273   7.7e-24   82.9   0.3   3   4       1.9   5.3e+02   -1.9   0.0   196   208   261   273   254   287 0.85 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 9305at5820           -            273   7.7e-24   82.9   0.3   4   4   8.2e-07   0.00023   19.0   0.0    45    94   373   422   342   464 0.84 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 9305at5820           -            273   4.7e-20   70.5  13.1   1   4     1e-11   2.9e-09   35.1   0.2    42   107    84   149    56   155 0.92 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 9305at5820           -            273   4.7e-20   70.5  13.1   2   4   6.9e-08   1.9e-05   22.5   0.4    34   111   174   247   170   258 0.78 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 9305at5820           -            273   4.7e-20   70.5  13.1   3   4         2   5.8e+02   -2.0   1.2   193   259   254   317   219   336 0.49 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 9305at5820           -            273   4.7e-20   70.5  13.1   4   4   2.9e-07   8.1e-05   20.5   0.1    45   100   399   457   385   482 0.81 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 9305at5820           -            273   1.3e-18   65.8   5.2   1   3   3.1e-12   8.7e-10   36.8   0.1    45   183    17   160     2   177 0.81 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
