#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721170.1         -            494 7247at5820           -            349  4.7e-181  600.0  44.4   1   5   3.9e-27   2.1e-24   84.8   0.1     1    51     1    51     1    59 0.97 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 7247at5820           -            349  4.7e-181  600.0  44.4   2   5    0.0011      0.61    7.7   6.2    55   101    99   145    92   150 0.84 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 7247at5820           -            349  4.7e-181  600.0  44.4   3   5     0.027        14    3.1   1.1    69    99   145   175   139   183 0.70 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 7247at5820           -            349  4.7e-181  600.0  44.4   4   5   5.3e-36   2.9e-33  114.0   6.4    51   154   156   263   152   274 0.82 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 7247at5820           -            349  4.7e-181  600.0  44.4   5   5  8.1e-125  4.4e-122  406.1  12.6   147   348   282   493   269   494 0.94 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 7247at5820           -            349   2.3e-29  101.1   6.0   1   2   0.00018     0.095   10.3   0.0    19    47    13    41     3    46 0.84 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 7247at5820           -            349   2.3e-29  101.1   6.0   2   2   5.9e-29   3.2e-26   90.8   4.2    97   345    52   300    42   301 0.89 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 7247at5820           -            349   3.8e-16   57.7   4.9   1   2   1.7e-06   0.00092   16.9   0.0   144   246    17   115     7   120 0.82 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 7247at5820           -            349   3.8e-16   57.7   4.9   2   2   4.6e-16   2.5e-13   48.4   2.6   109   347    79   315    76   317 0.82 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 7247at5820           -            349   1.5e-11   42.5  21.9   1   4   0.00083      0.45    8.1   0.0    18    46    94   121    85   127 0.80 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 7247at5820           -            349   1.5e-11   42.5  21.9   2   4    0.0001     0.055   11.1   1.3   193   251   115   174   115   182 0.82 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 7247at5820           -            349   1.5e-11   42.5  21.9   3   4   2.9e-06    0.0016   16.2   4.1   259   345   217   299   202   303 0.81 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 7247at5820           -            349   1.5e-11   42.5  21.9   4   4   7.3e-07   0.00039   18.1   1.6   265   341   422   504   399   511 0.72 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719943.1         -            341 7247at5820           -            349   3.5e-11   41.3  14.2   1   3   1.8e-05    0.0095   13.6   0.2     8    57     8    60     1    68 0.72 | transcript=PVPAM_080016600_t1 | gene=PVPAM_080016600 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=CASCJQ010000008:576663-578050(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719943.1         -            341 7247at5820           -            349   3.5e-11   41.3  14.2   2   3   1.9e-09     1e-06   26.7   3.8   144   253   104   213    71   216 0.86 | transcript=PVPAM_080016600_t1 | gene=PVPAM_080016600 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=CASCJQ010000008:576663-578050(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719943.1         -            341 7247at5820           -            349   3.5e-11   41.3  14.2   3   3    0.0048       2.6    5.6   0.2    17    75   249   309   230   337 0.75 | transcript=PVPAM_080016600_t1 | gene=PVPAM_080016600 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=CASCJQ010000008:576663-578050(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 7247at5820           -            349   4.8e-10   37.6  16.3   1   6    0.0063       3.4    5.2   0.0    19    77    38    97    23   115 0.77 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 7247at5820           -            349   4.8e-10   37.6  16.3   2   6       2.1   1.2e+03   -3.1   0.0   126   157   447   477   443   491 0.78 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 7247at5820           -            349   4.8e-10   37.6  16.3   3   6       3.2   1.7e+03   -3.7   1.6    54    93   584   623   573   645 0.64 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 7247at5820           -            349   4.8e-10   37.6  16.3   4   6     0.014       7.3    4.1   0.1   313   347   670   704   659   706 0.88 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 7247at5820           -            349   4.8e-10   37.6  16.3   5   6   0.00026      0.14    9.7   0.2   158   343   747   824   721   836 0.61 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
