#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722763.1         -            305 7279at5820           -            532  2.2e-223  740.8  20.5   1   2  7.3e-112  3.9e-109  363.7   6.4   229   379     1   151     1   151 1.00 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 7279at5820           -            532  2.2e-223  740.8  20.5   2   2    6e-120  3.2e-117  390.4   6.1   219   379   143   303   143   305 1.00 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721198.1         -            128 7279at5820           -            532     8e-46  154.8   0.0   1   1   1.5e-48   8.1e-46  154.8   0.0   305   380     1    76     1   113 0.91 | transcript=PVPAM_110010000_t1 | gene=PVPAM_110010000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=CASCJQ010000011:198390-199196(+) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723296.1         -             76 7279at5820           -            532   3.9e-22   76.6   0.1   1   1   7.9e-25   4.3e-22   76.5   0.1   305   379     1    75     1    76 0.68 | transcript=PVPAM_140021500_t1 | gene=PVPAM_140021500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=CASCJQ010000014:732237-732754(-) | protein_length=76 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720418.1         -            394 7279at5820           -            532   6.9e-09   32.9   0.0   1   1   1.6e-11   8.6e-09   32.6   0.0   310   374     8    72     1    95 0.49 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719662.1         -           1441 7279at5820           -            532   7.4e-09   32.8   0.2   1   1     2e-11   1.1e-08   32.3   0.2   152   224     6    78     1    83 0.32 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723107.1         -            149 7279at5820           -            532   8.2e-08   29.4   0.1   1   1   1.8e-10   9.5e-08   29.2   0.1    77   152     1    76     1    93 0.38 | transcript=PVPAM_130061300_t1 | gene=PVPAM_130061300 | organism=Plasmodium_vivax_PAM | gene_product=ribosomal protein S27a, putative | transcript_product=ribosomal protein S27a, putative | location=CASCJQ010000013:2478409-2479959(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720017.1         -            406 7279at5820           -            532   1.3e-05   22.2   0.3   1   1   2.8e-08   1.5e-05   21.9   0.3   305   374     1    69     1   139 0.54 | transcript=PVPAM_080023900_t1 | gene=PVPAM_080023900 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=CASCJQ010000008:855985-857205(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723719.1         -             73 7279at5820           -            532   0.00038   17.3   0.1   1   1   7.1e-07   0.00038   17.3   0.1   160   219     9    68     1    73 0.33 | transcript=PVPAM_140064300_t1 | gene=PVPAM_140064300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like modifier HUB1, putative | transcript_product=ubiquitin-like modifier HUB1, putative | location=CASCJQ010000014:2547583-2547905(+) | protein_length=73 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723314.1         -            190 7279at5820           -            532    0.0011   15.8   0.1   1   1   2.5e-06    0.0013   15.5   0.1   412   522    58   172    30   179 0.48 | transcript=PVPAM_140023300_t1 | gene=PVPAM_140023300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000014:811940-812665(-) | protein_length=190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720536.1         -            246 7279at5820           -            532    0.0026   14.5   0.0   1   1   6.7e-06    0.0036   14.0   0.0   394   438    22    66     8    79 0.39 | transcript=PVPAM_090030200_t1 | gene=PVPAM_090030200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like domain-containing protein, putative | transcript_product=ubiquitin-like domain-containing protein, putative | location=CASCJQ010000009:1157483-1158784(-) | protein_length=246 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
