#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721320.1         -           1176 3582at5820           -            705         0 1014.7 134.7   1   6   5.5e-08   8.9e-05   19.4  21.8    12    90    53   151    42   171 0.66 | transcript=PVPAM_110022300_t1 | gene=PVPAM_110022300 | organism=Plasmodium_vivax_PAM | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=CASCJQ010000011:720177-723707(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721320.1         -           1176 3582at5820           -            705         0 1014.7 134.7   2   6    0.0013       2.1    4.9  22.2    44   130   176   261   153   274 0.66 | transcript=PVPAM_110022300_t1 | gene=PVPAM_110022300 | organism=Plasmodium_vivax_PAM | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=CASCJQ010000011:720177-723707(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721320.1         -           1176 3582at5820           -            705         0 1014.7 134.7   3   6  1.3e-121  2.1e-118  395.0  26.3   114   333   284   509   257   519 0.91 | transcript=PVPAM_110022300_t1 | gene=PVPAM_110022300 | organism=Plasmodium_vivax_PAM | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=CASCJQ010000011:720177-723707(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721320.1         -           1176 3582at5820           -            705         0 1014.7 134.7   4   6  2.4e-137  3.9e-134  446.9  25.4   336   569   615   853   612   871 0.94 | transcript=PVPAM_110022300_t1 | gene=PVPAM_110022300 | organism=Plasmodium_vivax_PAM | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=CASCJQ010000011:720177-723707(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721320.1         -           1176 3582at5820           -            705         0 1014.7 134.7   5   6   2.6e-32   4.2e-29   99.8   7.7   580   661   964  1049   954  1058 0.86 | transcript=PVPAM_110022300_t1 | gene=PVPAM_110022300 | organism=Plasmodium_vivax_PAM | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=CASCJQ010000011:720177-723707(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721320.1         -           1176 3582at5820           -            705         0 1014.7 134.7   6   6   5.1e-24   8.3e-21   72.3   0.3   641   705  1107  1173  1090  1173 0.84 | transcript=PVPAM_110022300_t1 | gene=PVPAM_110022300 | organism=Plasmodium_vivax_PAM | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=CASCJQ010000011:720177-723707(-) | protein_length=1176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718010.1         -            127 3582at5820           -            705    0.0016   15.2   1.5   1   1   1.1e-06    0.0018   15.1   1.5    74   159    11   102     1   108 0.65 | transcript=PVPAM_020024300_t1 | gene=PVPAM_020024300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000002:833673-834249(+) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720941.1         -            133 3582at5820           -            705    0.0074   13.0   0.3   1   1   4.6e-06    0.0074   13.0   0.3   355   424    21    90     3   121 0.84 | transcript=PVPAM_100020900_t1 | gene=PVPAM_100020900 | organism=Plasmodium_vivax_PAM | gene_product=40S ribosomal protein S24, putative | transcript_product=40S ribosomal protein S24, putative | location=CASCJQ010000010:714576-715209(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721622.1         -            332 3582at5820           -            705       7.4    3.1  21.3   1   1    0.0058       9.4    2.7  21.3    32   124    71   165    58   260 0.73 | transcript=PVPAM_110052600_t1 | gene=PVPAM_110052600 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:2005086-2006297(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3582at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3582at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3582at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:32 2026
# [ok]
