#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720440.1         -            193 11848at5820          -            164  1.9e-102  338.7   2.5   1   1  3.4e-105  2.2e-102  338.5   2.5     1   164    25   193    25   193 0.98 | transcript=PVPAM_090020500_t1 | gene=PVPAM_090020500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=CASCJQ010000009:743151-744335(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720081.1         -            170 11848at5820          -            164   3.1e-62  208.0   0.6   1   1   5.6e-65   3.6e-62  207.8   0.6     5   163     4   169     2   170 0.93 | transcript=PVPAM_080030300_t1 | gene=PVPAM_080030300 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000008:1145010-1145522(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717776.1         -            262 11848at5820          -            164   1.9e-42  143.6   1.9   1   1   4.2e-45   2.7e-42  143.1   1.9     8   146    96   241    92   252 0.88 | transcript=PVPAM_010029000_t1 | gene=PVPAM_010029000 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=CASCJQ010000001:1062352-1063140(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722667.1         -            226 11848at5820          -            164   1.5e-37  127.7   0.2   1   1   2.9e-40   1.9e-37  127.3   0.2     6   163     7   173     3   174 0.93 | transcript=PVPAM_130016800_t1 | gene=PVPAM_130016800 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000013:546633-548322(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723496.1         -            276 11848at5820          -            164   1.1e-33  115.2   2.7   1   1   2.1e-36   1.4e-33  114.8   2.7     3   155    60   214    58   224 0.91 | transcript=PVPAM_140041900_t1 | gene=PVPAM_140041900 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000014:1573079-1573909(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721034.1         -            737 11848at5820          -            164   2.1e-33  114.2   0.2   1   1   6.6e-36   4.2e-33  113.2   0.2     5   151   579   721   575   728 0.90 | transcript=PVPAM_100030200_t1 | gene=PVPAM_100030200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:1086375-1088588(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720848.1         -            203 11848at5820          -            164   1.8e-31  107.9   0.2   1   1   4.2e-34   2.7e-31  107.3   0.2    11   151    48   184    43   197 0.90 | transcript=PVPAM_100011400_t1 | gene=PVPAM_100011400 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:296194-296805(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720446.1         -            167 11848at5820          -            164   9.3e-31  105.6   0.3   1   1     2e-33   1.3e-30  105.2   0.3    12   159     4   150     1   154 0.86 | transcript=PVPAM_090021100_t1 | gene=PVPAM_090021100 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000009:764777-766319(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722906.1         -            433 11848at5820          -            164   2.1e-11   42.7   0.1   1   1     5e-14   3.2e-11   42.0   0.1     6   149    10   152     5   159 0.80 | transcript=PVPAM_130040800_t1 | gene=PVPAM_130040800 | organism=Plasmodium_vivax_PAM | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=CASCJQ010000013:1587047-1589663(-) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717791.1         -            582 11848at5820          -            164   8.2e-08   31.0   0.1   1   2   0.00017      0.11   11.0   0.1     6    67     6    73     3    86 0.77 | transcript=PVPAM_010030500_t1 | gene=PVPAM_010030500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000001:1138008-1139756(-) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717791.1         -            582 11848at5820          -            164   8.2e-08   31.0   0.1   2   2   1.8e-06    0.0012   17.5   0.0    81   154   107   184    93   192 0.84 | transcript=PVPAM_010030500_t1 | gene=PVPAM_010030500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000001:1138008-1139756(-) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
