#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719969.1         -            609 5653at5820           -            431  5.9e-227  752.4  55.1   1   4   7.5e-26   4.4e-23   80.7   2.2     1    66     5    77     5    80 0.92 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719969.1         -            609 5653at5820           -            431  5.9e-227  752.4  55.1   2   4   1.4e-47   8.5e-45  152.2   7.5    62   157   181   276   175   283 0.94 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719969.1         -            609 5653at5820           -            431  5.9e-227  752.4  55.1   3   4  2.5e-135  1.5e-132  441.4   9.5   152   378   295   523   284   539 0.97 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719969.1         -            609 5653at5820           -            431  5.9e-227  752.4  55.1   4   4   9.8e-31   5.7e-28   96.8  12.0   370   431   547   609   536   609 0.91 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 5653at5820           -            431   7.8e-10   37.0   1.5   1   1   2.4e-12   1.4e-09   36.1   1.5   373   429   223   280   208   282 0.90 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719236.1         -            272 5653at5820           -            431     3e-08   31.8   1.7   1   1   7.2e-11   4.2e-08   31.3   1.7   365   427   198   261   146   264 0.78 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720156.1         -           1194 5653at5820           -            431     1e-05   23.4   5.0   1   1     3e-08   1.8e-05   22.7   5.0   374   429  1135  1191  1110  1193 0.81 | transcript=PVPAM_080037800_t1 | gene=PVPAM_080037800 | organism=Plasmodium_vivax_PAM | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=CASCJQ010000008:1496683-1500267(+) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720182.1         -            742 5653at5820           -            431   5.9e-05   20.9   1.9   1   1   1.5e-07     9e-05   20.3   1.9   385   428   692   737   667   739 0.73 | transcript=PVPAM_080040400_t1 | gene=PVPAM_080040400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:1572902-1575130(-) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719938.1         -           1167 5653at5820           -            431   0.00022   19.0   0.3   1   1   5.6e-07   0.00033   18.5   0.3   375   429   359   418   317   420 0.77 | transcript=PVPAM_080016100_t1 | gene=PVPAM_080016100 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:552494-555997(-) | protein_length=1167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723076.1         -            695 5653at5820           -            431     0.001   16.8   8.6   1   1   3.3e-06    0.0019   15.9   8.6   383   427   643   690   607   693 0.71 | transcript=PVPAM_130058200_t1 | gene=PVPAM_130058200 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000013:2363547-2365634(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721388.1         -             89 5653at5820           -            431    0.0049   14.6   9.3   1   1   9.1e-06    0.0053   14.5   9.3   379   428    30    80     7    82 0.77 | transcript=PVPAM_110029100_t1 | gene=PVPAM_110029100 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=CASCJQ010000011:1048379-1048648(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
