#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718795.1         -           1051 1452at5820           -            579  1.2e-181  603.6 137.5   1   8   9.8e-11   1.3e-07   28.9  17.0     1    73     1    99     1   110 0.65 | transcript=PVPAM_050018900_t1 | gene=PVPAM_050018900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=CASCJQ010000005:624169-627324(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718795.1         -           1051 1452at5820           -            579  1.2e-181  603.6 137.5   2   8     0.011        15    2.3  16.3    72   114   130   175   121   184 0.76 | transcript=PVPAM_050018900_t1 | gene=PVPAM_050018900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=CASCJQ010000005:624169-627324(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718795.1         -           1051 1452at5820           -            579  1.2e-181  603.6 137.5   3   8   1.6e-11   2.1e-08   31.5   6.6    79   160   224   311   195   338 0.68 | transcript=PVPAM_050018900_t1 | gene=PVPAM_050018900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=CASCJQ010000005:624169-627324(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718795.1         -           1051 1452at5820           -            579  1.2e-181  603.6 137.5   4   8   8.3e-08   0.00011   19.3   0.6   143   169   337   363   331   366 0.92 | transcript=PVPAM_050018900_t1 | gene=PVPAM_050018900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=CASCJQ010000005:624169-627324(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718795.1         -           1051 1452at5820           -            579  1.2e-181  603.6 137.5   5   8   5.7e-07   0.00074   16.5   6.4   167   222   411   480   405   500 0.66 | transcript=PVPAM_050018900_t1 | gene=PVPAM_050018900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=CASCJQ010000005:624169-627324(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718795.1         -           1051 1452at5820           -            579  1.2e-181  603.6 137.5   6   8   1.7e-33   2.2e-30  104.0   3.8   208   307   507   607   495   612 0.90 | transcript=PVPAM_050018900_t1 | gene=PVPAM_050018900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=CASCJQ010000005:624169-627324(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718795.1         -           1051 1452at5820           -            579  1.2e-181  603.6 137.5   7   8   5.8e-59   7.5e-56  188.2  29.6   266   449   605   830   600   843 0.84 | transcript=PVPAM_050018900_t1 | gene=PVPAM_050018900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=CASCJQ010000005:624169-627324(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718795.1         -           1051 1452at5820           -            579  1.2e-181  603.6 137.5   8   8     6e-77   7.8e-74  247.5   6.0   442   579   909  1051   901  1051 0.94 | transcript=PVPAM_050018900_t1 | gene=PVPAM_050018900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC2, putative | transcript_product=PhIL1-interacting candidate PIC2, putative | location=CASCJQ010000005:624169-627324(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 1452at5820           -            579     0.029   11.2  16.2   1   1   2.4e-05     0.031   11.1  16.2    37   119    51   136    34   143 0.46 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 1452at5820           -            579      0.45    7.3  28.1   1   2   2.9e-05     0.038   10.8  22.9    50   116    97   163    85   178 0.64 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 1452at5820           -            579      0.45    7.3  28.1   2   2      0.21   2.7e+02   -1.9   0.2   111   155   287   331   273   339 0.60 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
