#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719321.1         -            301 8914at5820           -            281  6.8e-183  604.8   7.0   1   1  9.5e-186  7.7e-183  604.6   7.0     1   281     8   298     8   298 0.98 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 8914at5820           -            281   1.1e-18   66.0  10.8   1   3   2.1e-06    0.0017   16.2   0.7    10    97    98   175    90   181 0.81 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 8914at5820           -            281   1.1e-18   66.0  10.8   2   3   3.1e-14   2.5e-11   41.9   1.4   103   193   215   302   188   312 0.90 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 8914at5820           -            281   1.1e-18   66.0  10.8   3   3   3.8e-05     0.031   12.1   0.0   195   272   411   496   401   505 0.69 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 8914at5820           -            281   6.9e-18   63.4   5.2   1   3    0.0016       1.3    6.7   0.0     7    39    20    52    15    77 0.84 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 8914at5820           -            281   6.9e-18   63.4   5.2   2   3     6e-06    0.0049   14.7   0.0    43    99   205   261   184   276 0.85 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 8914at5820           -            281   6.9e-18   63.4   5.2   3   3   3.7e-13     3e-10   38.4   2.9    99   278   289   485   272   488 0.69 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 8914at5820           -            281   3.3e-17   61.2   2.0   1   2     1e-07   8.1e-05   20.5   0.1   110   186    37   112    18   122 0.88 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 8914at5820           -            281   3.3e-17   61.2   2.0   2   2   7.2e-14   5.8e-11   40.7   0.3   105   273   127   302   113   311 0.79 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719943.1         -            341 8914at5820           -            281   3.8e-12   44.6   3.3   1   2   8.1e-14   6.5e-11   40.5   0.8     2   176    18   193    17   213 0.80 | transcript=PVPAM_080016600_t1 | gene=PVPAM_080016600 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=CASCJQ010000008:576663-578050(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719943.1         -            341 8914at5820           -            281   3.8e-12   44.6   3.3   2   2    0.0079       6.4    4.5   0.1    93   168   233   316   226   334 0.66 | transcript=PVPAM_080016600_t1 | gene=PVPAM_080016600 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=CASCJQ010000008:576663-578050(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 8914at5820           -            281   1.5e-07   29.5   3.3   1   1   1.8e-09   1.5e-06   26.3   3.3    56   252    85   294    23   315 0.72 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 8914at5820           -            281   6.7e-06   24.1   4.4   1   2   8.3e-05     0.067   11.0   0.3   158   227    41   113     1   118 0.64 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 8914at5820           -            281   6.7e-06   24.1   4.4   2   2   4.6e-05     0.037   11.8   0.5    48   141   119   213   111   251 0.67 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
