#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720991.1         -           1077 3175at5820           -            591  4.6e-234  777.0  10.2   1   6   1.9e-08     2e-05   22.0   0.0    24    60   159   198   154   206 0.86 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 3175at5820           -            591  4.6e-234  777.0  10.2   2   6   2.5e-49   2.6e-46  157.0   0.1    59   166   218   336   212   342 0.90 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 3175at5820           -            591  4.6e-234  777.0  10.2   3   6   2.2e-19   2.4e-16   58.1   0.0   168   223   398   454   392   460 0.91 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 3175at5820           -            591  4.6e-234  777.0  10.2   4   6   5.5e-72   5.9e-69  231.8   0.2   225   358   574   713   571   723 0.94 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 3175at5820           -            591  4.6e-234  777.0  10.2   5   6     1e-15   1.1e-12   46.0   0.1   366   429   746   832   741   842 0.81 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 3175at5820           -            591  4.6e-234  777.0  10.2   6   6   2.1e-80   2.2e-77  259.6   0.1   434   591   901  1075   881  1075 0.89 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717964.1         -            631 3175at5820           -            591   4.7e-53  179.3  19.9   1   3   5.4e-33   5.9e-30  103.0   9.2    60   319   176   443   115   457 0.76 | transcript=PVPAM_020019600_t1 | gene=PVPAM_020019600 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000002:607532-609427(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717964.1         -            631 3175at5820           -            591   4.7e-53  179.3  19.9   2   3   2.5e-18   2.7e-15   54.6   1.2   438   535   487   586   470   586 0.83 | transcript=PVPAM_020019600_t1 | gene=PVPAM_020019600 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000002:607532-609427(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717964.1         -            631 3175at5820           -            591   4.7e-53  179.3  19.9   3   3   4.2e-11   4.5e-08   30.8   0.2   544   590   574   620   569   621 0.86 | transcript=PVPAM_020019600_t1 | gene=PVPAM_020019600 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000002:607532-609427(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 3175at5820           -            591   1.7e-10   38.8   0.8   1   4      0.13   1.4e+02   -0.6   0.0   170   221   352   403   345   411 0.81 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 3175at5820           -            591   1.7e-10   38.8   0.8   2   4   5.4e-09   5.8e-06   23.8   0.7   261   355   485   585   460   598 0.80 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
