#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720952.1         -            241 10375at5820          -            201  6.4e-126  416.5   2.8   1   1  1.1e-128  7.3e-126  416.3   2.8     1   201    28   241    28   241 0.97 | transcript=PVPAM_100022000_t1 | gene=PVPAM_100022000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=CASCJQ010000010:755925-757413(+) | protein_length=241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717915.1         -            218 10375at5820          -            201   3.6e-18   64.7   0.2   1   1   8.5e-21   5.5e-18   64.1   0.2     9   116     7   115     3   156 0.92 | transcript=PVPAM_020014700_t1 | gene=PVPAM_020014700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=CASCJQ010000002:408985-410207(+) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722072.1         -            270 10375at5820          -            201   1.3e-07   30.2   0.0   1   1   2.7e-10   1.8e-07   29.8   0.0     9   146    39   181    33   223 0.75 | transcript=PVPAM_120031000_t1 | gene=PVPAM_120031000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=CASCJQ010000012:1018619-1019431(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720014.1         -            273 10375at5820          -            201     6e-07   28.1   1.8   1   1   1.5e-09   9.5e-07   27.4   1.8    10   180    61   229    53   247 0.82 | transcript=PVPAM_080023600_t1 | gene=PVPAM_080023600 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=CASCJQ010000008:847200-848021(-) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717783.1         -            256 10375at5820          -            201   4.4e-05   22.0   0.5   1   1   1.2e-07     8e-05   21.1   0.5    10   121     8   124     3   138 0.75 | transcript=PVPAM_010029700_t1 | gene=PVPAM_010029700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=CASCJQ010000001:1103661-1104585(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719766.1         -            282 10375at5820          -            201   0.00025   19.5   1.5   1   2   1.5e-06   0.00099   17.6   0.1     8    71    26    89    19   107 0.86 | transcript=PVPAM_070038000_t1 | gene=PVPAM_070038000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=CASCJQ010000007:1389848-1390696(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719766.1         -            282 10375at5820          -            201   0.00025   19.5   1.5   2   2      0.17   1.1e+02    1.1   0.1   117   150   192   229   142   255 0.64 | transcript=PVPAM_070038000_t1 | gene=PVPAM_070038000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=CASCJQ010000007:1389848-1390696(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722172.1         -            195 10375at5820          -            201   0.00053   18.4   0.8   1   1   1.1e-06   0.00069   18.1   0.8    13   151     3   150     1   164 0.70 | transcript=PVPAM_120041000_t1 | gene=PVPAM_120041000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-2, putative | transcript_product=proteasome subunit beta type-2, putative | location=CASCJQ010000012:1418029-1418823(-) | protein_length=195 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723643.1         -            207 10375at5820          -            201    0.0022   16.4   0.0   1   1   5.7e-06    0.0037   15.7   0.0    10    75    36   101    32   118 0.94 | transcript=PVPAM_140056700_t1 | gene=PVPAM_140056700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=CASCJQ010000014:2230899-2232126(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721316.1         -            246 10375at5820          -            201    0.0067   14.8   0.4   1   1   1.4e-05     0.009   14.4   0.4     8   114    28   138    23   185 0.68 | transcript=PVPAM_110021900_t1 | gene=PVPAM_110021900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=CASCJQ010000011:709930-710813(+) | protein_length=246 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717977.1         -            256 10375at5820          -            201     0.039   12.4   0.1   1   1   9.4e-05     0.061   11.7   0.1     8    76    31    98    26   122 0.82 | transcript=PVPAM_020020900_t1 | gene=PVPAM_020020900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=CASCJQ010000002:671250-672485(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10375at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10375at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10375at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:49 2026
# [ok]
