#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722495.1         -            324 11418at5820          -            204   2.7e-98  326.5  15.9   1   2   1.9e-06    0.0031   16.1   0.0     1    30     1    29     1    50 0.74 | transcript=PVPAM_120073200_t1 | gene=PVPAM_120073200 | organism=Plasmodium_vivax_PAM | gene_product=copper transporter, putative | transcript_product=copper transporter, putative | location=CASCJQ010000012:2832431-2833581(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722495.1         -            324 11418at5820          -            204   2.7e-98  326.5  15.9   2   2   1.3e-95     2e-92  307.4  14.7    24   204   114   324   105   324 0.95 | transcript=PVPAM_120073200_t1 | gene=PVPAM_120073200 | organism=Plasmodium_vivax_PAM | gene_product=copper transporter, putative | transcript_product=copper transporter, putative | location=CASCJQ010000012:2832431-2833581(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722919.1         -            161 11418at5820          -            204   2.9e-22   78.3   7.3   1   1   2.3e-25   3.6e-22   77.9   7.3    55   177    31   157     5   160 0.89 | transcript=PVPAM_130042100_t1 | gene=PVPAM_130042100 | organism=Plasmodium_vivax_PAM | gene_product=copper transporter, putative | transcript_product=copper transporter, putative | location=CASCJQ010000013:1631869-1632354(+) | protein_length=161 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724172.1         -            341 11418at5820          -            204      0.45    9.1  11.4   1   3    0.0067        11    4.6   0.1    27    68     8    49     3    56 0.78 | transcript=PVPAM_000029900_t1 | gene=PVPAM_000029900 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium vivax Vir protein, putative | transcript_product=Plasmodium vivax Vir protein, putative | location=CASCJQ010000020:164761-166031(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724172.1         -            341 11418at5820          -            204      0.45    9.1  11.4   2   3   0.00045      0.73    8.4   1.5     6    60    60   118    55   131 0.78 | transcript=PVPAM_000029900_t1 | gene=PVPAM_000029900 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium vivax Vir protein, putative | transcript_product=Plasmodium vivax Vir protein, putative | location=CASCJQ010000020:164761-166031(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724172.1         -            341 11418at5820          -            204      0.45    9.1  11.4   3   3     0.048        78    1.8   0.4    16    51   156   190   141   222 0.67 | transcript=PVPAM_000029900_t1 | gene=PVPAM_000029900 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium vivax Vir protein, putative | transcript_product=Plasmodium vivax Vir protein, putative | location=CASCJQ010000020:164761-166031(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724238.1         -            319 11418at5820          -            204       2.5    6.7  11.5   1   3      0.36   5.9e+02   -1.1   0.1    45    81    12    47     7    63 0.66 | transcript=PVPAM_000036300_t1 | gene=PVPAM_000036300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium vivax Vir protein, putative | transcript_product=Plasmodium vivax Vir protein, putative | location=CASCJQ010000022:73211-74433(-) | protein_length=319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724238.1         -            319 11418at5820          -            204       2.5    6.7  11.5   2   3    0.0032       5.1    5.6   2.2    12    55    65   108    51   133 0.84 | transcript=PVPAM_000036300_t1 | gene=PVPAM_000036300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium vivax Vir protein, putative | transcript_product=Plasmodium vivax Vir protein, putative | location=CASCJQ010000022:73211-74433(-) | protein_length=319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724238.1         -            319 11418at5820          -            204       2.5    6.7  11.5   3   3    0.0028       4.6    5.8   0.6    24    69   135   179   127   184 0.74 | transcript=PVPAM_000036300_t1 | gene=PVPAM_000036300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium vivax Vir protein, putative | transcript_product=Plasmodium vivax Vir protein, putative | location=CASCJQ010000022:73211-74433(-) | protein_length=319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11418at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11418at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11418at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:40 2026
# [ok]
