#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718469.1         -           1438 1090at5820           -           1041         0 1870.6  55.2   1   5  1.5e-248  1.9e-245  816.0  20.0     1   387     1   397     1   401 0.98 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718469.1         -           1438 1090at5820           -           1041         0 1870.6  55.2   2   5   1.1e-52   1.4e-49  167.5   0.4   385   483   422   520   412   526 0.95 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718469.1         -           1438 1090at5820           -           1041         0 1870.6  55.2   3   5   4.1e-12   5.3e-09   33.2   0.2   480   511   609   640   595   646 0.86 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718469.1         -           1438 1090at5820           -           1041         0 1870.6  55.2   4   5  8.4e-166  1.1e-162  542.0   0.2   499   854   726  1078   723  1138 0.81 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718469.1         -           1438 1090at5820           -           1041         0 1870.6  55.2   5   5  6.3e-100   8.2e-97  323.9  10.4   814  1041  1188  1438  1159  1438 0.85 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 1090at5820           -           1041   1.9e-07   28.0   0.5   1   2    0.0018       2.4    4.5   0.0   126   212   137   234   129   243 0.68 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 1090at5820           -           1041   1.9e-07   28.0   0.5   2   2   1.2e-08   1.5e-05   21.7   0.2   132   223   323   410   314   416 0.81 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 1090at5820           -           1041   9.4e-05   19.1   2.0   1   1     1e-07   0.00013   18.6   2.0   178   326   333   480   303   514 0.85 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718581.1         -             91 1090at5820           -           1041     0.012   12.2   4.1   1   1   9.5e-06     0.012   12.1   4.1   809   898     2    89     1    91 0.85 | transcript=PVPAM_040032600_t1 | gene=PVPAM_040032600 | organism=Plasmodium_vivax_PAM | gene_product=Microtubule-associated protein Jupiter [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8F3] | transcript_product=Microtubule-associated protein Jupiter [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8F3] | location=CASCJQ010000004:1137211-1138021(+) | protein_length=91 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 1090at5820           -           1041       0.3    7.5   3.3   1   3      0.53   6.9e+02   -3.6   0.1   919   952   160   193   131   198 0.72 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 1090at5820           -           1041       0.3    7.5   3.3   2   3    0.0087        11    2.3   0.0   139   245   432   539   422   566 0.76 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 1090at5820           -           1041       0.3    7.5   3.3   3   3   0.00092       1.2    5.5   0.1   190   239   628   677   619   704 0.75 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1090at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1090at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1090at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:52 2026
# [ok]
