#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719495.1         -           1117 1750at5820           -            846         0 1450.7 105.6   1   4     1e-44   1.3e-41  141.3   0.2     1    92     8   115     8   122 0.90 | transcript=PVPAM_070010900_t1 | gene=PVPAM_070010900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 66, putative | transcript_product=WD repeat-containing protein 66, putative | location=CASCJQ010000007:340347-343856(+) | protein_length=1117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719495.1         -           1117 1750at5820           -            846         0 1450.7 105.6   2   4    2e-130  2.6e-127  424.9  21.7    89   326   167   430   158   434 0.93 | transcript=PVPAM_070010900_t1 | gene=PVPAM_070010900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 66, putative | transcript_product=WD repeat-containing protein 66, putative | location=CASCJQ010000007:340347-343856(+) | protein_length=1117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719495.1         -           1117 1750at5820           -            846         0 1450.7 105.6   3   4  1.8e-227  2.3e-224  746.0  53.3   326   746   483   956   478   961 0.93 | transcript=PVPAM_070010900_t1 | gene=PVPAM_070010900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 66, putative | transcript_product=WD repeat-containing protein 66, putative | location=CASCJQ010000007:340347-343856(+) | protein_length=1117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719495.1         -           1117 1750at5820           -            846         0 1450.7 105.6   4   4   5.5e-46   7.1e-43  145.6   9.2   747   846  1016  1117  1010  1117 0.97 | transcript=PVPAM_070010900_t1 | gene=PVPAM_070010900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 66, putative | transcript_product=WD repeat-containing protein 66, putative | location=CASCJQ010000007:340347-343856(+) | protein_length=1117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1750at5820           -            846   2.3e-06   24.8   4.6   1   3   8.6e-05      0.11    9.3   0.3   333   459    78   206    53   225 0.80 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1750at5820           -            846   2.3e-06   24.8   4.6   2   3      0.36   4.6e+02   -2.7   0.0   697   722   433   458   363   482 0.61 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1750at5820           -            846   2.3e-06   24.8   4.6   3   3   4.1e-07   0.00053   17.0   0.1    37    85   525   571   497   578 0.81 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718172.1         -            327 1750at5820           -            846   2.1e-05   21.6   0.5   1   2    0.0017       2.2    5.0   0.0    46   119     7    81     1    95 0.74 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718172.1         -            327 1750at5820           -            846   2.1e-05   21.6   0.5   2   2   1.8e-06    0.0023   14.9   0.1   301   410   104   219    94   242 0.80 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 1750at5820           -            846    0.0018   15.2   0.3   1   1   2.5e-06    0.0032   14.4   0.3   224   278   324   380   302   403 0.73 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718445.1         -           1498 1750at5820           -            846     0.013   12.3   7.1   1   4   0.00085       1.1    6.0   0.5    20    88    35   106    23   122 0.74 | transcript=PVPAM_040019100_t1 | gene=PVPAM_040019100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:605088-609779(-) | protein_length=1498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718445.1         -           1498 1750at5820           -            846     0.013   12.3   7.1   2   4     0.023        29    1.3   0.1   357   400    88   132    71   139 0.73 | transcript=PVPAM_040019100_t1 | gene=PVPAM_040019100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:605088-609779(-) | protein_length=1498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718445.1         -           1498 1750at5820           -            846     0.013   12.3   7.1   3   4     0.013        17    2.0   0.0   346   404   460   517   453   531 0.74 | transcript=PVPAM_040019100_t1 | gene=PVPAM_040019100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:605088-609779(-) | protein_length=1498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718445.1         -           1498 1750at5820           -            846     0.013   12.3   7.1   4   4   0.00097       1.2    5.8   0.2   334   398   656   716   630   727 0.76 | transcript=PVPAM_040019100_t1 | gene=PVPAM_040019100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:605088-609779(-) | protein_length=1498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1750at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1750at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1750at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:28 2026
# [ok]
