#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723610.1         -           2038 882at5820            -           1269         0 2420.5 144.4   1   7   1.7e-56   3.8e-53  179.0  11.6     1   116   118   234   118   249 0.90 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 882at5820            -           1269         0 2420.5 144.4   2   7     4e-38   8.7e-35  118.2   7.9   112   216   302   421   294   436 0.84 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 882at5820            -           1269         0 2420.5 144.4   3   7         0         0 1222.9  46.4   198   798   513  1152   507  1159 0.95 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 882at5820            -           1269         0 2420.5 144.4   4   7   1.9e-78     4e-75  251.8  11.3   794   920  1242  1369  1226  1372 0.95 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 882at5820            -           1269         0 2420.5 144.4   5   7   1.9e-28     4e-25   86.1   0.0   917   971  1505  1559  1487  1563 0.90 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 882at5820            -           1269         0 2420.5 144.4   6   7   5.6e-62   1.2e-58  197.2  10.4   970  1086  1669  1787  1663  1805 0.95 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 882at5820            -           1269         0 2420.5 144.4   7   7  8.3e-122  1.8e-118  395.4  15.9  1083  1269  1845  2034  1841  2034 0.98 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 882at5820            -           1269   6.2e-40  135.2  94.9   1   6   7.8e-21   1.7e-17   60.9  40.5   264   639   398   780   374   781 0.81 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 882at5820            -           1269   6.2e-40  135.2  94.9   2   6   1.6e-05     0.034   10.2   5.8   682   767   750   837   735   843 0.72 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 882at5820            -           1269   6.2e-40  135.2  94.9   3   6   1.8e-15   3.8e-12   43.2   5.9   810   904   990  1077   954  1098 0.78 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 882at5820            -           1269   6.2e-40  135.2  94.9   4   6      0.17   3.7e+02   -3.2   0.0   907   940  1112  1145  1101  1149 0.80 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
