#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7   1  10   7.8e-27     5e-23   79.5   0.1    12    72    99   159    93   167 0.96 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7   2  10   2.6e-23   1.7e-19   67.8   0.0    85   158   264   352   255   358 0.79 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7   3  10   7.3e-70   4.7e-66  222.0   5.6   158   277   418   537   415   541 0.96 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7   4  10   2.5e-33   1.6e-29  101.0   0.3   271   351   580   663   574   665 0.91 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7   5  10     7e-46   4.5e-42  142.6   0.7   347   452   682   793   679   804 0.93 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7   6  10   6.9e-92   4.5e-88  294.9  15.4   449   632   837  1021   832  1026 0.97 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7   7  10   5.1e-15   3.3e-11   40.3   0.1   629   680  1056  1112  1052  1119 0.91 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7   8  10   7.7e-22     5e-18   62.9   0.6   681   732  1163  1214  1158  1222 0.93 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7   9  10  7.2e-138  4.6e-134  447.2  25.8   730   978  1274  1530  1267  1534 0.96 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721533.1         -           1877 1034at5820           -           1177         0 1775.0 117.7  10  10  2.2e-109  1.4e-105  352.9  16.9   971  1177  1652  1877  1641  1877 0.94 | transcript=PVPAM_110043800_t1 | gene=PVPAM_110043800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1601240-1606873(-) | protein_length=1877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1034at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1034at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1034at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:43 2026
# [ok]
