#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718076.1         -            383 7611at5820           -            340  3.8e-186  616.6  31.3   1   1    3e-189  4.8e-186  616.2  31.3     3   340    12   383    10   383 0.92 | transcript=PVPAM_030007200_t1 | gene=PVPAM_030007200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000003:97716-98867(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 7611at5820           -            340   5.2e-11   40.8  15.9   1   3     7e-09   1.1e-05   23.2   0.1    24   181   342   519   328   530 0.74 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 7611at5820           -            340   5.2e-11   40.8  15.9   2   3      0.37   5.9e+02   -2.2   1.4   123   169   638   683   623   711 0.72 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 7611at5820           -            340   5.2e-11   40.8  15.9   3   3   9.8e-10   1.6e-06   26.0   3.3   209   335  1188  1319  1123  1324 0.82 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 7611at5820           -            340     0.005   14.5   0.9   1   2   2.4e-05     0.039   11.6   0.2    22    77   110   162    95   233 0.84 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 7611at5820           -            340     0.005   14.5   0.9   2   2     0.098   1.6e+02   -0.3   0.0   281   305   489   514   482   549 0.78 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 7611at5820           -            340    0.0052   14.5  26.2   1   6      0.79   1.3e+03   -3.3   0.0   289   330    75   115    73   120 0.61 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 7611at5820           -            340    0.0052   14.5  26.2   2   6      0.15   2.4e+02   -0.9   1.0   108   161   147   199   123   221 0.57 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 7611at5820           -            340    0.0052   14.5  26.2   3   6   4.4e-06    0.0071   14.0   0.9    20    53   339   373   329   429 0.73 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 7611at5820           -            340    0.0052   14.5  26.2   4   6       1.3   2.1e+03   -4.0   0.1    95   109   461   475   452   483 0.71 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 7611at5820           -            340    0.0052   14.5  26.2   5   6   0.00046      0.74    7.4   0.0   192   254   598   662   579   685 0.84 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718888.1         -            889 7611at5820           -            340    0.0052   14.5  26.2   6   6    0.0001      0.17    9.5   1.5   281   320   834   873   792   889 0.73 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7611at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
