#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720014.1         -            273 9897at5820           -            230  8.4e-147  485.3   8.4   1   2       4.4   2.6e+03   -3.8   0.3     1     8    12    19    12    20 0.90 | transcript=PVPAM_080023600_t1 | gene=PVPAM_080023600 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=CASCJQ010000008:847200-848021(-) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720014.1         -            273 9897at5820           -            230  8.4e-147  485.3   8.4   2   2  1.4e-149  8.4e-147  485.3   8.4     2   230    28   273    27   273 0.97 | transcript=PVPAM_080023600_t1 | gene=PVPAM_080023600 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=CASCJQ010000008:847200-848021(-) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722072.1         -            270 9897at5820           -            230   1.5e-21   75.5   0.0   1   1   3.3e-24     2e-21   75.1   0.0    23   218    36   239    21   246 0.88 | transcript=PVPAM_120031000_t1 | gene=PVPAM_120031000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=CASCJQ010000012:1018619-1019431(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719766.1         -            282 9897at5820           -            230   3.5e-13   48.1   5.1   1   2     2e-08   1.2e-05   23.5   0.0    25    78    27    80    18   102 0.91 | transcript=PVPAM_070038000_t1 | gene=PVPAM_070038000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=CASCJQ010000007:1389848-1390696(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719766.1         -            282 9897at5820           -            230   3.5e-13   48.1   5.1   2   2   4.7e-09   2.7e-06   25.6   2.3   110   201   166   266   139   282 0.75 | transcript=PVPAM_070038000_t1 | gene=PVPAM_070038000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=CASCJQ010000007:1389848-1390696(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717783.1         -            256 9897at5820           -            230   1.3e-11   43.0   1.3   1   2   1.1e-13   6.6e-11   40.7   0.1    26    90     8    72     3   130 0.86 | transcript=PVPAM_010029700_t1 | gene=PVPAM_010029700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=CASCJQ010000001:1103661-1104585(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717783.1         -            256 9897at5820           -            230   1.3e-11   43.0   1.3   2   2      0.12        69    1.3   0.1   138   203   152   225   141   245 0.70 | transcript=PVPAM_010029700_t1 | gene=PVPAM_010029700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=CASCJQ010000001:1103661-1104585(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720952.1         -            241 9897at5820           -            230   2.2e-07   29.2   1.2   1   1   1.8e-09     1e-06   26.9   1.2    24   170    35   182    18   237 0.82 | transcript=PVPAM_100022000_t1 | gene=PVPAM_100022000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=CASCJQ010000010:755925-757413(+) | protein_length=241 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723643.1         -            207 9897at5820           -            230   4.2e-07   28.2   0.0   1   2   2.7e-08   1.6e-05   23.1   0.0    21    89    31   100    19   111 0.87 | transcript=PVPAM_140056700_t1 | gene=PVPAM_140056700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=CASCJQ010000014:2230899-2232126(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723643.1         -            207 9897at5820           -            230   4.2e-07   28.2   0.0   2   2     0.031        18    3.2   0.0   149   182   152   187   136   196 0.78 | transcript=PVPAM_140056700_t1 | gene=PVPAM_140056700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=CASCJQ010000014:2230899-2232126(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717977.1         -            256 9897at5820           -            230   1.4e-06   26.5   0.1   1   1   4.9e-09   2.9e-06   25.5   0.1    25   174    32   191    22   225 0.81 | transcript=PVPAM_020020900_t1 | gene=PVPAM_020020900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=CASCJQ010000002:671250-672485(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717915.1         -            218 9897at5820           -            230   2.2e-06   25.9   0.1   1   1   6.5e-09   3.8e-06   25.1   0.1    26   148     8   127     2   137 0.87 | transcript=PVPAM_020014700_t1 | gene=PVPAM_020014700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=CASCJQ010000002:408985-410207(+) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721316.1         -            246 9897at5820           -            230     8e-05   20.8   2.5   1   1   1.8e-07   0.00011   20.3   2.5    27   171    31   180    20   240 0.79 | transcript=PVPAM_110021900_t1 | gene=PVPAM_110021900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=CASCJQ010000011:709930-710813(+) | protein_length=246 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721546.1         -            235 9897at5820           -            230   0.00013   20.0   0.4   1   1   2.9e-07   0.00017   19.7   0.4    29   182    34   191    22   203 0.82 | transcript=PVPAM_110045100_t1 | gene=PVPAM_110045100 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=CASCJQ010000011:1676814-1677673(+) | protein_length=235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722510.1         -            269 9897at5820           -            230    0.0076   14.3   0.6   1   1   1.7e-05      0.01   13.9   0.6    25   152    30   157    23   178 0.70 | transcript=PVPAM_120074900_t1 | gene=PVPAM_120074900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=CASCJQ010000012:2917627-2918866(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9897at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
