#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718545.1         -            706 3809at5820           -            594         0 1075.6  31.5   1   2  3.4e-292  1.2e-289  960.4  17.9     7   511    22   558    15   576 0.93 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718545.1         -            706 3809at5820           -            594         0 1075.6  31.5   2   2   4.5e-38   1.6e-35  121.2   5.7   512   594   618   706   592   706 0.83 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718541.1         -           1123 3809at5820           -            594   4.1e-71  238.8  21.1   1   3   1.2e-12   4.3e-10   37.3   0.2    23   177   319   489   311   493 0.67 | transcript=PVPAM_040028500_t1 | gene=PVPAM_040028500 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:990844-994731(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718541.1         -           1123 3809at5820           -            594   4.1e-71  238.8  21.1   2   3     4e-61   1.4e-58  197.3   5.6   202   480   538   811   518   840 0.90 | transcript=PVPAM_040028500_t1 | gene=PVPAM_040028500 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:990844-994731(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718541.1         -           1123 3809at5820           -            594   4.1e-71  238.8  21.1   3   3   3.1e-05     0.011   12.8   2.9   520   592  1047  1121  1038  1123 0.78 | transcript=PVPAM_040028500_t1 | gene=PVPAM_040028500 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:990844-994731(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718540.1         -           1039 3809at5820           -            594   7.7e-69  231.3  28.1   1   3   1.2e-10   4.2e-08   30.7   4.2    23   177   281   451   264   454 0.75 | transcript=PVPAM_040028400_t1 | gene=PVPAM_040028400 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:985852-989635(+) | protein_length=1039 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718540.1         -           1039 3809at5820           -            594   7.7e-69  231.3  28.1   2   3   6.7e-61   2.4e-58  196.6   6.4   204   485   503   779   489   805 0.88 | transcript=PVPAM_040028400_t1 | gene=PVPAM_040028400 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:985852-989635(+) | protein_length=1039 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718540.1         -           1039 3809at5820           -            594   7.7e-69  231.3  28.1   3   3   4.1e-06    0.0015   15.7   2.0   516   592   957  1037   940  1039 0.71 | transcript=PVPAM_040028400_t1 | gene=PVPAM_040028400 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:985852-989635(+) | protein_length=1039 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718535.1         -           1069 3809at5820           -            594   1.4e-68  230.4  25.2   1   3   3.8e-12   1.4e-09   35.6   2.2    23   178   301   471   285   480 0.78 | transcript=PVPAM_040027900_t1 | gene=PVPAM_040027900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:961834-965540(+) | protein_length=1069 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718535.1         -           1069 3809at5820           -            594   1.4e-68  230.4  25.2   2   3   4.4e-59   1.6e-56  190.6   7.0   204   489   522   802   514   837 0.88 | transcript=PVPAM_040027900_t1 | gene=PVPAM_040027900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:961834-965540(+) | protein_length=1069 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718535.1         -           1069 3809at5820           -            594   1.4e-68  230.4  25.2   3   3   6.1e-06    0.0022   15.1   1.2   518   592   991  1067   974  1069 0.79 | transcript=PVPAM_040027900_t1 | gene=PVPAM_040027900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:961834-965540(+) | protein_length=1069 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
