#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719205.1         -            947 4710at5820           -            709         0 1137.5 158.3   1   4    2e-167  2.6e-164  546.7  10.2     5   261    14   273     8   280 0.96 | transcript=PVPAM_060021200_t1 | gene=PVPAM_060021200 | organism=Plasmodium_vivax_PAM | gene_product=Eps15-like protein, putative | transcript_product=Eps15-like protein, putative | location=CASCJQ010000006:699129-703017(-) | protein_length=947 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719205.1         -            947 4710at5820           -            709         0 1137.5 158.3   2   4   1.5e-08     2e-05   21.5  42.9   256   386   296   443   291   459 0.56 | transcript=PVPAM_060021200_t1 | gene=PVPAM_060021200 | organism=Plasmodium_vivax_PAM | gene_product=Eps15-like protein, putative | transcript_product=Eps15-like protein, putative | location=CASCJQ010000006:699129-703017(-) | protein_length=947 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719205.1         -            947 4710at5820           -            709         0 1137.5 158.3   3   4         5   6.5e+03   -8.9  25.0   309   381   454   521   437   542 0.33 | transcript=PVPAM_060021200_t1 | gene=PVPAM_060021200 | organism=Plasmodium_vivax_PAM | gene_product=Eps15-like protein, putative | transcript_product=Eps15-like protein, putative | location=CASCJQ010000006:699129-703017(-) | protein_length=947 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719205.1         -            947 4710at5820           -            709         0 1137.5 158.3   4   4  3.3e-181  4.2e-178  592.3  62.9   375   709   572   947   561   947 0.95 | transcript=PVPAM_060021200_t1 | gene=PVPAM_060021200 | organism=Plasmodium_vivax_PAM | gene_product=Eps15-like protein, putative | transcript_product=Eps15-like protein, putative | location=CASCJQ010000006:699129-703017(-) | protein_length=947 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720261.1         -            529 4710at5820           -            709   0.00021   18.1   2.3   1   2      0.16   2.1e+02   -1.7   1.9   404   440   358   394   256   408 0.73 | transcript=PVPAM_080048400_t1 | gene=PVPAM_080048400 | organism=Plasmodium_vivax_PAM | gene_product=EH domain-containing protein, putative | transcript_product=EH domain-containing protein, putative | location=CASCJQ010000008:1879342-1880931(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720261.1         -            529 4710at5820           -            709   0.00021   18.1   2.3   2   2   2.3e-07   0.00029   17.6   0.0   142   221   449   526   431   528 0.77 | transcript=PVPAM_080048400_t1 | gene=PVPAM_080048400 | organism=Plasmodium_vivax_PAM | gene_product=EH domain-containing protein, putative | transcript_product=EH domain-containing protein, putative | location=CASCJQ010000008:1879342-1880931(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723673.1         -            159 4710at5820           -            709      0.24    8.0  24.4   1   1   0.00023       0.3    7.7  24.4   270   376    46   150    35   158 0.29 | transcript=PVPAM_140059700_t1 | gene=PVPAM_140059700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:2356786-2357265(+) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 4710at5820           -            709       2.9    4.5  30.0   1   2    0.0001      0.13    8.9  24.7   326   417   101   186    90   202 0.46 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 4710at5820           -            709       2.9    4.5  30.0   2   2      0.74   9.5e+02   -3.9   0.2   434   446   309   321   283   333 0.56 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722880.1         -             88 4710at5820           -            709       8.5    2.9  20.3   1   1    0.0065       8.4    2.9  20.3   319   390    10    83     1    88 0.39 | transcript=PVPAM_130038200_t1 | gene=PVPAM_130038200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:1485132-1485398(+) | protein_length=88 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4710at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4710at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4710at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:43 2026
# [ok]
