#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723281.1         -            420 6354at5820           -            285    8e-200  660.5   2.4   1   1  3.4e-202  9.7e-200  660.2   2.4     1   285     8   295     8   295 0.99 | transcript=PVPAM_140020000_t1 | gene=PVPAM_140020000 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=CASCJQ010000014:667717-669210(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 6354at5820           -            285   5.1e-70  234.6   0.1   1   2   4.1e-37   1.2e-34  118.6   0.0   144   277   198   332   193   339 0.90 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 6354at5820           -            285   5.1e-70  234.6   0.1   2   2   1.2e-35   3.5e-33  113.7   0.0    99   285   432   613   413   613 0.91 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723825.1         -            424 6354at5820           -            285   9.3e-66  220.6   0.2   1   1   4.4e-68   1.2e-65  220.2   0.2    83   285    99   300    52   300 0.94 | transcript=PVPAM_140074800_t1 | gene=PVPAM_140074800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=CASCJQ010000014:2935721-2936995(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 6354at5820           -            285   2.1e-64  216.2   0.0   1   2   6.8e-38   1.9e-35  121.1   0.0   144   280   468   604   464   609 0.93 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 6354at5820           -            285   2.1e-64  216.2   0.0   2   2     3e-29   8.6e-27   92.7   0.0   146   284   790   926   775   927 0.90 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720588.1         -            441 6354at5820           -            285   1.7e-56  190.2   0.1   1   1   9.7e-59   2.7e-56  189.5   0.1   106   285   142   321   116   321 0.97 | transcript=PVPAM_090035300_t1 | gene=PVPAM_090035300 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=CASCJQ010000009:1347152-1348477(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723229.1         -            393 6354at5820           -            285   4.3e-56  188.9   1.0   1   1   1.9e-58   5.4e-56  188.5   1.0    80   285    59   270     5   270 0.88 | transcript=PVPAM_140014800_t1 | gene=PVPAM_140014800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=CASCJQ010000014:461124-462305(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719980.1         -            447 6354at5820           -            285   1.6e-55  187.0   0.0   1   1   8.5e-58   2.4e-55  186.4   0.0   111   285   151   325   120   325 0.91 | transcript=PVPAM_080020200_t1 | gene=PVPAM_080020200 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=CASCJQ010000008:717094-718726(-) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718885.1         -            392 6354at5820           -            285   4.5e-55  185.5   0.0   1   1   2.4e-57   6.7e-55  185.0   0.0    96   285    82   271    47   271 0.94 | transcript=PVPAM_050027700_t1 | gene=PVPAM_050027700 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=CASCJQ010000005:947308-948671(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6354at5820           -            285   8.8e-31  105.8   1.0   1   4       4.3   1.2e+03   -2.9   0.0   219   270   248   301   244   302 0.72 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6354at5820           -            285   8.8e-31  105.8   1.0   2   4   5.8e-07   0.00016   19.6   0.0   150   208   344   402   332   407 0.89 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6354at5820           -            285   8.8e-31  105.8   1.0   3   4       1.6   4.4e+02   -1.5   0.0   242   262   494   514   478   519 0.75 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6354at5820           -            285   8.8e-31  105.8   1.0   4   4   3.5e-26   9.8e-24   82.7   0.0   145   284   761   897   738   898 0.87 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 6354at5820           -            285   1.7e-30  104.9   0.1   1   1   1.4e-32   4.1e-30  103.6   0.1   145   282   243   376   232   379 0.89 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 6354at5820           -            285   6.9e-30  102.9   0.1   1   2    0.0025       0.7    7.7   0.0   189   264   245   322   219   326 0.82 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
