#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720081.1         -            170 12744at5820          -            161  2.6e-105  347.9   1.5   1   1  4.4e-108  2.9e-105  347.7   1.5     1   161     3   170     3   170 0.98 | transcript=PVPAM_080030300_t1 | gene=PVPAM_080030300 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000008:1145010-1145522(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720440.1         -            193 12744at5820          -            161   8.2e-59  196.7   0.9   1   1   1.5e-61   9.5e-59  196.5   0.9     3   159    30   191    28   193 0.92 | transcript=PVPAM_090020500_t1 | gene=PVPAM_090020500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=CASCJQ010000009:743151-744335(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717776.1         -            262 12744at5820          -            161   2.8e-51  172.2   1.5   1   2        10   6.5e+03   -4.7   1.7    64    79     5    20     3    24 0.82 | transcript=PVPAM_010029000_t1 | gene=PVPAM_010029000 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=CASCJQ010000001:1062352-1063140(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717776.1         -            262 12744at5820          -            161   2.8e-51  172.2   1.5   2   2   4.4e-54   2.8e-51  172.2   1.5     4   161    95   262    92   262 0.89 | transcript=PVPAM_010029000_t1 | gene=PVPAM_010029000 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=CASCJQ010000001:1062352-1063140(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722667.1         -            226 12744at5820          -            161   1.3e-45  153.7   0.5   1   1   2.5e-48   1.6e-45  153.5   0.5     3   160     7   173     5   174 0.89 | transcript=PVPAM_130016800_t1 | gene=PVPAM_130016800 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000013:546633-548322(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721034.1         -            737 12744at5820          -            161   2.5e-37  126.8   0.3   1   1     9e-40   5.8e-37  125.7   0.3    15   144   594   715   585   723 0.88 | transcript=PVPAM_100030200_t1 | gene=PVPAM_100030200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:1086375-1088588(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720848.1         -            203 12744at5820          -            161   3.9e-36  123.0   0.2   1   1     1e-38   6.6e-36  122.2   0.2    11   143    53   177    45   189 0.91 | transcript=PVPAM_100011400_t1 | gene=PVPAM_100011400 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:296194-296805(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720446.1         -            167 12744at5820          -            161   1.4e-33  114.6   0.5   1   1   3.5e-36   2.2e-33  114.0   0.5    11   146     8   136     2   149 0.91 | transcript=PVPAM_090021100_t1 | gene=PVPAM_090021100 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000009:764777-766319(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723496.1         -            276 12744at5820          -            161   1.2e-32  111.6   0.7   1   1   2.5e-35   1.6e-32  111.2   0.7     1   159    61   222    61   224 0.92 | transcript=PVPAM_140041900_t1 | gene=PVPAM_140041900 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000014:1573079-1573909(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717791.1         -            582 12744at5820          -            161     7e-13   47.4   0.5   1   1   9.5e-14   6.1e-11   41.1   0.5    11   144    17   174     6   195 0.69 | transcript=PVPAM_010030500_t1 | gene=PVPAM_010030500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000001:1138008-1139756(-) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722906.1         -            433 12744at5820          -            161   7.6e-13   47.3   0.2   1   1   2.1e-15   1.4e-12   46.4   0.2    16   134    25   137    14   150 0.87 | transcript=PVPAM_130040800_t1 | gene=PVPAM_130040800 | organism=Plasmodium_vivax_PAM | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=CASCJQ010000013:1587047-1589663(-) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
