#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721595.1         -           1843 592at5820            -           1360         0 2632.7 101.4   1   5         0         0 2165.7  58.8     1  1053     1  1126     1  1130 0.95 | transcript=PVPAM_110049900_t2 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721595.1         -           1843 592at5820            -           1360         0 2632.7 101.4   2   5   2.7e-53   5.8e-50  168.5   8.9  1052  1157  1156  1268  1146  1273 0.93 | transcript=PVPAM_110049900_t2 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721595.1         -           1843 592at5820            -           1360         0 2632.7 101.4   3   5   1.1e-07   0.00023   17.4   5.6  1166  1204  1364  1407  1354  1449 0.84 | transcript=PVPAM_110049900_t2 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721595.1         -           1843 592at5820            -           1360         0 2632.7 101.4   4   5     0.042        91   -1.1   0.0  1191  1223  1442  1472  1420  1476 0.60 | transcript=PVPAM_110049900_t2 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721595.1         -           1843 592at5820            -           1360         0 2632.7 101.4   5   5   4.9e-91   1.1e-87  293.5   3.8  1228  1360  1709  1841  1691  1841 0.96 | transcript=PVPAM_110049900_t2 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721594.1         -           1844 592at5820            -           1360         0 2632.6 101.4   1   5         0         0 2165.7  58.8     1  1053     1  1126     1  1130 0.95 | transcript=PVPAM_110049900_t1 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721594.1         -           1844 592at5820            -           1360         0 2632.6 101.4   2   5   2.7e-53   5.8e-50  168.5   8.9  1052  1157  1156  1268  1146  1273 0.93 | transcript=PVPAM_110049900_t1 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721594.1         -           1844 592at5820            -           1360         0 2632.6 101.4   3   5   1.1e-07   0.00023   17.4   5.6  1166  1204  1364  1407  1354  1449 0.84 | transcript=PVPAM_110049900_t1 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721594.1         -           1844 592at5820            -           1360         0 2632.6 101.4   4   5     0.042        91   -1.1   0.0  1191  1223  1442  1472  1420  1476 0.60 | transcript=PVPAM_110049900_t1 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721594.1         -           1844 592at5820            -           1360         0 2632.6 101.4   5   5   4.9e-91   1.1e-87  293.5   3.8  1228  1360  1710  1842  1692  1842 0.96 | transcript=PVPAM_110049900_t1 | gene=PVPAM_110049900 | organism=Plasmodium_vivax_PAM | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=CASCJQ010000011:1872318-1881089(+) | protein_length=1844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723773.1         -           1843 592at5820            -           1360   1.1e-17   61.5  20.6   1   6    0.0084        18    1.2   3.9   185   281   159   253    64   270 0.65 | transcript=PVPAM_140069600_t1 | gene=PVPAM_140069600 | organism=Plasmodium_vivax_PAM | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=CASCJQ010000014:2752994-2759251(-) | protein_length=1843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
