#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722382.1         -           1834 1374at5820           -           1085         0 1788.8 171.5   1   9   7.1e-88   4.6e-84  281.6  24.7     2   153    10   165     9   178 0.95 | transcript=PVPAM_120061800_t1 | gene=PVPAM_120061800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=CASCJQ010000012:2310569-2316239(+) | protein_length=1834 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722382.1         -           1834 1374at5820           -           1085         0 1788.8 171.5   2   9   3.6e-32   2.3e-28   97.1   4.8   148   207   224   283   216   302 0.88 | transcript=PVPAM_120061800_t1 | gene=PVPAM_120061800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=CASCJQ010000012:2310569-2316239(+) | protein_length=1834 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722382.1         -           1834 1374at5820           -           1085         0 1788.8 171.5   3   9  1.1e-229  6.9e-226  751.2  59.1   209   594   423   826   416   832 0.96 | transcript=PVPAM_120061800_t1 | gene=PVPAM_120061800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=CASCJQ010000012:2310569-2316239(+) | protein_length=1834 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722382.1         -           1834 1374at5820           -           1085         0 1788.8 171.5   4   9   1.2e-75   7.8e-72  241.1  19.5   593   749   898  1063   874  1069 0.93 | transcript=PVPAM_120061800_t1 | gene=PVPAM_120061800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=CASCJQ010000012:2310569-2316239(+) | protein_length=1834 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722382.1         -           1834 1374at5820           -           1085         0 1788.8 171.5   5   9   5.9e-17   3.8e-13   46.7   0.0   752   798  1122  1169  1098  1183 0.78 | transcript=PVPAM_120061800_t1 | gene=PVPAM_120061800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=CASCJQ010000012:2310569-2316239(+) | protein_length=1834 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722382.1         -           1834 1374at5820           -           1085         0 1788.8 171.5   6   9   1.1e-85   6.9e-82  274.4  10.6   802   957  1234  1392  1218  1399 0.95 | transcript=PVPAM_120061800_t1 | gene=PVPAM_120061800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=CASCJQ010000012:2310569-2316239(+) | protein_length=1834 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722382.1         -           1834 1374at5820           -           1085         0 1788.8 171.5   7   9     9e-22   5.8e-18   62.7   0.2   957  1001  1433  1480  1424  1502 0.82 | transcript=PVPAM_120061800_t1 | gene=PVPAM_120061800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=CASCJQ010000012:2310569-2316239(+) | protein_length=1834 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722382.1         -           1834 1374at5820           -           1085         0 1788.8 171.5   8   9   0.00015      0.94    5.7   0.0  1006  1031  1556  1590  1541  1596 0.76 | transcript=PVPAM_120061800_t1 | gene=PVPAM_120061800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=CASCJQ010000012:2310569-2316239(+) | protein_length=1834 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722382.1         -           1834 1374at5820           -           1085         0 1788.8 171.5   9   9   4.1e-22   2.7e-18   63.8   3.1  1035  1085  1784  1834  1750  1834 0.87 | transcript=PVPAM_120061800_t1 | gene=PVPAM_120061800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=CASCJQ010000012:2310569-2316239(+) | protein_length=1834 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1374at5820.hmm
