#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719775.1         -            972 6463at5820           -            563  5.1e-132  439.9  14.3   1   8   5.2e-20   1.1e-16   59.1   0.1     1    55     1    59     1    63 0.91 | transcript=PVPAM_070038900_t1 | gene=PVPAM_070038900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1415714-1418632(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719775.1         -            972 6463at5820           -            563  5.1e-132  439.9  14.3   2   8   2.7e-19   5.8e-16   56.8   0.0    59   125    96   170    92   175 0.89 | transcript=PVPAM_070038900_t1 | gene=PVPAM_070038900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1415714-1418632(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719775.1         -            972 6463at5820           -            563  5.1e-132  439.9  14.3   3   8   3.7e-17   8.1e-14   49.7   0.1   126   176   200   253   190   262 0.85 | transcript=PVPAM_070038900_t1 | gene=PVPAM_070038900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1415714-1418632(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719775.1         -            972 6463at5820           -            563  5.1e-132  439.9  14.3   4   8   4.6e-10   9.8e-07   26.3   0.0   177   213   282   319   274   326 0.87 | transcript=PVPAM_070038900_t1 | gene=PVPAM_070038900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1415714-1418632(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719775.1         -            972 6463at5820           -            563  5.1e-132  439.9  14.3   5   8     0.003       6.4    3.8   0.0   208   232   346   371   345   373 0.87 | transcript=PVPAM_070038900_t1 | gene=PVPAM_070038900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1415714-1418632(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719775.1         -            972 6463at5820           -            563  5.1e-132  439.9  14.3   6   8   5.2e-24   1.1e-20   72.3   0.1   231   320   448   575   442   579 0.79 | transcript=PVPAM_070038900_t1 | gene=PVPAM_070038900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1415714-1418632(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719775.1         -            972 6463at5820           -            563  5.1e-132  439.9  14.3   7   8   5.3e-35   1.1e-31  108.6   0.0   322   467   619   792   616   837 0.79 | transcript=PVPAM_070038900_t1 | gene=PVPAM_070038900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1415714-1418632(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719775.1         -            972 6463at5820           -            563  5.1e-132  439.9  14.3   8   8   2.7e-18   5.7e-15   53.5   0.7   487   538   860   911   855   961 0.73 | transcript=PVPAM_070038900_t1 | gene=PVPAM_070038900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1415714-1418632(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 6463at5820           -            563   5.6e-06   23.8   3.1   1   3    0.0069        15    2.6   0.4   299   360   204   273   192   279 0.46 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 6463at5820           -            563   5.6e-06   23.8   3.1   2   3   2.6e-09   5.6e-06   23.8   3.1   327   421   277   375   261   391 0.85 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 6463at5820           -            563   5.6e-06   23.8   3.1   3   3     0.017        37    1.3   1.4   333   391   395   453   391   501 0.75 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
