#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718210.1         -           2077 918at5820            -           1171         0 1898.3 177.1   1   9  8.7e-167  5.6e-163  543.1  35.5     2   276     6   281     5   286 0.99 | transcript=PVPAM_030021000_t1 | gene=PVPAM_030021000 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=CASCJQ010000003:678011-685657(+) | protein_length=2077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718210.1         -           2077 918at5820            -           1171         0 1898.3 177.1   2   9   7.9e-73   5.1e-69  231.9  21.0   268   400   299   431   290   439 0.97 | transcript=PVPAM_030021000_t1 | gene=PVPAM_030021000 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=CASCJQ010000003:678011-685657(+) | protein_length=2077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718210.1         -           2077 918at5820            -           1171         0 1898.3 177.1   3   9   2.8e-32   1.8e-28   97.6   1.2   405   468   468   531   464   537 0.95 | transcript=PVPAM_030021000_t1 | gene=PVPAM_030021000 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=CASCJQ010000003:678011-685657(+) | protein_length=2077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718210.1         -           2077 918at5820            -           1171         0 1898.3 177.1   4   9   2.9e-06     0.019   11.4   0.2   464   486   739   761   722   766 0.84 | transcript=PVPAM_030021000_t1 | gene=PVPAM_030021000 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=CASCJQ010000003:678011-685657(+) | protein_length=2077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718210.1         -           2077 918at5820            -           1171         0 1898.3 177.1   5   9   5.4e-12   3.5e-08   30.4   0.0   484   519   847   882   844   893 0.92 | transcript=PVPAM_030021000_t1 | gene=PVPAM_030021000 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=CASCJQ010000003:678011-685657(+) | protein_length=2077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718210.1         -           2077 918at5820            -           1171         0 1898.3 177.1   6   9   1.1e-37   7.2e-34  115.5   2.8   515   586   941  1012   927  1015 0.93 | transcript=PVPAM_030021000_t1 | gene=PVPAM_030021000 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=CASCJQ010000003:678011-685657(+) | protein_length=2077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718210.1         -           2077 918at5820            -           1171         0 1898.3 177.1   7   9   1.3e-34   8.1e-31  105.4   4.0   583   655  1105  1177  1098  1181 0.95 | transcript=PVPAM_030021000_t1 | gene=PVPAM_030021000 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=CASCJQ010000003:678011-685657(+) | protein_length=2077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718210.1         -           2077 918at5820            -           1171         0 1898.3 177.1   8   9  1.1e-115  6.9e-112  373.9  21.6   656   923  1293  1577  1278  1593 0.90 | transcript=PVPAM_030021000_t1 | gene=PVPAM_030021000 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=CASCJQ010000003:678011-685657(+) | protein_length=2077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718210.1         -           2077 918at5820            -           1171         0 1898.3 177.1   9   9  2.7e-132  1.7e-128  428.9  37.0   919  1171  1823  2076  1805  2076 0.98 | transcript=PVPAM_030021000_t1 | gene=PVPAM_030021000 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein PX1, putative | transcript_product=phosphoinositide-binding protein PX1, putative | location=CASCJQ010000003:678011-685657(+) | protein_length=2077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/918at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/918at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/918at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:08 2026
# [ok]
