#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723421.1         -           1280 3205at5820           -            970         0 1575.1 135.2   1   3         0         0 1058.9  79.2     1   685     1   881     1   885 0.89 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 3205at5820           -            970         0 1575.1 135.2   2   3  1.8e-122  1.9e-119  398.7  25.5   680   897   905  1148   898  1159 0.93 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 3205at5820           -            970         0 1575.1 135.2   3   3   2.7e-40   2.9e-37  126.7  14.5   890   970  1198  1280  1192  1280 0.94 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 3205at5820           -            970   9.1e-17   58.8  52.8   1   6     0.098   1.1e+02   -1.0   0.1   153   191    27    65     7    99 0.77 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 3205at5820           -            970   9.1e-17   58.8  52.8   2   6   9.9e-08   0.00011   18.9   4.9    42   145   132   240   108   252 0.68 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 3205at5820           -            970   9.1e-17   58.8  52.8   3   6   2.4e-08   2.6e-05   20.9  11.0   328   413   354   435   252   471 0.81 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 3205at5820           -            970   9.1e-17   58.8  52.8   4   6     0.046        50    0.1   0.3   441   480   435   481   433   498 0.61 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 3205at5820           -            970   9.1e-17   58.8  52.8   5   6     4e-05     0.043   10.3   6.6   620   726   587   694   536   695 0.64 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 3205at5820           -            970   9.1e-17   58.8  52.8   6   6   2.2e-09   2.3e-06   24.4  10.7   726   843   641   760   633   784 0.77 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722809.1         -            257 3205at5820           -            970   7.5e-12   42.6   8.8   1   2   1.1e-08   1.2e-05   22.0   0.3   607   659     7    59     3    76 0.90 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722809.1         -            257 3205at5820           -            970   7.5e-12   42.6   8.8   2   2   2.7e-09   2.9e-06   24.1   2.9   749   836   101   191    90   226 0.80 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
