#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721055.1         -           1569 1444at5820           -           1093         0 1884.6  58.1   1   6   2.1e-47   1.5e-44  150.8   0.3     1   107    32   141    32   145 0.95 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 1444at5820           -           1093         0 1884.6  58.1   2   6  1.2e-198  8.4e-196  651.7  11.9   101   427   243   570   233   580 0.98 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 1444at5820           -           1093         0 1884.6  58.1   3   6  3.6e-182  2.6e-179  597.1  13.9   429   766   607   952   594   955 0.96 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 1444at5820           -           1093         0 1884.6  58.1   4   6   2.5e-15   1.8e-12   44.6   0.1   757   814   978  1042   971  1059 0.78 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 1444at5820           -           1093         0 1884.6  58.1   5   6   1.4e-76     1e-73  247.4   2.1   819   966  1179  1331  1135  1334 0.95 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 1444at5820           -           1093         0 1884.6  58.1   6   6     2e-66   1.5e-63  213.8   0.2   962  1087  1364  1489  1359  1493 0.98 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 1444at5820           -           1093   8.4e-14   49.0   0.3   1   2   1.2e-09   8.4e-07   25.8   0.0   853   938   387   475   360   481 0.89 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 1444at5820           -           1093   8.4e-14   49.0   0.3   2   2   4.2e-08     3e-05   20.7   0.1   852   909   489   546   482   591 0.85 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 1444at5820           -           1093   9.4e-13   45.5   0.1   1   1   1.6e-15   1.1e-12   45.3   0.1   852   945    42   137    39   173 0.88 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720435.1         -            800 1444at5820           -           1093     7e-12   42.6   4.2   1   2    0.0011      0.81    6.0   0.0    84   134   346   398   331   408 0.71 | transcript=PVPAM_090020000_t1 | gene=PVPAM_090020000 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=CASCJQ010000009:724554-728149(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720435.1         -            800 1444at5820           -           1093     7e-12   42.6   4.2   2   2   6.5e-13   4.7e-10   36.6   1.8   317   413   514   608   506   774 0.93 | transcript=PVPAM_090020000_t1 | gene=PVPAM_090020000 | organism=Plasmodium_vivax_PAM | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=CASCJQ010000009:724554-728149(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
