#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723629.1         -           2007 760at5820            -           1541         0 2511.5  45.0   1   4   2.1e-22     2e-19   67.2   0.0     8    75    11    79     3    86 0.88 | transcript=PVPAM_140055300_t1 | gene=PVPAM_140055300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000014:2171292-2177315(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723629.1         -           2007 760at5820            -           1541         0 2511.5  45.0   2   4    3e-188  2.8e-185  616.8   0.7    77   441   109   560    93   569 0.90 | transcript=PVPAM_140055300_t1 | gene=PVPAM_140055300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000014:2171292-2177315(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723629.1         -           2007 760at5820            -           1541         0 2511.5  45.0   3   4   2.3e-85   2.1e-82  275.9   3.2   507   652   705   850   653   959 0.86 | transcript=PVPAM_140055300_t1 | gene=PVPAM_140055300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000014:2171292-2177315(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723629.1         -           2007 760at5820            -           1541         0 2511.5  45.0   4   4         0         0 1557.7  27.5   650  1540   961  2006   944  2007 0.92 | transcript=PVPAM_140055300_t1 | gene=PVPAM_140055300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000014:2171292-2177315(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717873.1         -           1726 760at5820            -           1541         0 1726.1 126.9   1   3   1.9e-12   1.8e-09   34.2   1.1     8    80    12    84     5    92 0.86 | transcript=PVPAM_020010500_t1 | gene=PVPAM_020010500 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000002:273956-279136(-) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717873.1         -           1726 760at5820            -           1541         0 1726.1 126.9   2   3  5.3e-123  4.9e-120  400.6  47.6    65   513    96   574    81   592 0.80 | transcript=PVPAM_020010500_t1 | gene=PVPAM_020010500 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000002:273956-279136(-) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717873.1         -           1726 760at5820            -           1541         0 1726.1 126.9   3   3         0         0 1298.1  65.0   480  1538   617  1724   578  1726 0.89 | transcript=PVPAM_020010500_t1 | gene=PVPAM_020010500 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=CASCJQ010000002:273956-279136(-) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 760at5820            -           1541   6.7e-13   45.5   4.4   1   3      0.15   1.4e+02   -1.9   0.2  1359  1388   471   501   464   536 0.84 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 760at5820            -           1541   6.7e-13   45.5   4.4   2   3   7.2e-16   6.7e-13   45.5   4.4   468   636   536   715   496   742 0.73 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 760at5820            -           1541   6.7e-13   45.5   4.4   3   3     0.025        23    0.7   0.0  1483  1518   742   778   724   782 0.86 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 760at5820            -           1541   2.1e-07   27.3  10.0   1   4     0.019        17    1.1   0.6    53   127   188   265   179   287 0.68 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
