#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721918.1         -            928 3403at5820           -            757         0 1409.5  72.5   1   2         0         0 1036.8  32.2     3   528    20   573    18   586 0.96 | transcript=PVPAM_120015200_t1 | gene=PVPAM_120015200 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=CASCJQ010000012:425811-428597(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721918.1         -            928 3403at5820           -            757         0 1409.5  72.5   2   2  1.4e-116  1.8e-113  378.7  32.3   522   753   617   854   611   857 0.95 | transcript=PVPAM_120015200_t1 | gene=PVPAM_120015200 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=CASCJQ010000012:425811-428597(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719621.1         -            652 3403at5820           -            757   1.7e-41  140.8  16.5   1   2   1.5e-05     0.019   11.6   0.0     9    80    30   100    25   111 0.84 | transcript=PVPAM_070023500_t1 | gene=PVPAM_070023500 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000007:826010-828426(+) | protein_length=652 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719621.1         -            652 3403at5820           -            757   1.7e-41  140.8  16.5   2   2   6.5e-40   8.4e-37  125.2  16.3   120   645   116   626   110   632 0.84 | transcript=PVPAM_070023500_t1 | gene=PVPAM_070023500 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000007:826010-828426(+) | protein_length=652 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718835.1         -            690 3403at5820           -            757   1.6e-34  117.7   5.5   1   2   0.00013      0.16    8.6   0.0     9    85    17    92    11   101 0.88 | transcript=PVPAM_050022900_t1 | gene=PVPAM_050022900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000005:771409-773481(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718835.1         -            690 3403at5820           -            757   1.6e-34  117.7   5.5   2   2   1.5e-34     2e-31  107.5   4.2   177   648   153   622   109   626 0.81 | transcript=PVPAM_050022900_t1 | gene=PVPAM_050022900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000005:771409-773481(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717706.1         -            887 3403at5820           -            757   5.1e-27   92.9  40.2   1   3   7.7e-05       0.1    9.3   0.2     8    79     2    72     1    91 0.82 | transcript=PVPAM_010022000_t1 | gene=PVPAM_010022000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=CASCJQ010000001:794746-797409(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717706.1         -            887 3403at5820           -            757   5.1e-27   92.9  40.2   2   3     9e-21   1.2e-17   61.9   7.5   178   440   141   428   134   515 0.76 | transcript=PVPAM_010022000_t1 | gene=PVPAM_010022000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=CASCJQ010000001:794746-797409(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717706.1         -            887 3403at5820           -            757   5.1e-27   92.9  40.2   3   3   8.5e-11   1.1e-07   29.0  19.2   566   754   642   831   622   835 0.74 | transcript=PVPAM_010022000_t1 | gene=PVPAM_010022000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=CASCJQ010000001:794746-797409(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720625.1         -            663 3403at5820           -            757   9.4e-24   82.1  13.2   1   2     0.019        25    1.3   0.1     6    93    40   127    36   133 0.86 | transcript=PVPAM_090038900_t1 | gene=PVPAM_090038900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000009:1492217-1494208(+) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720625.1         -            663 3403at5820           -            757   9.4e-24   82.1  13.2   2   2   3.6e-26   4.7e-23   79.8   9.5   178   589   177   578   153   638 0.76 | transcript=PVPAM_090038900_t1 | gene=PVPAM_090038900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000009:1492217-1494208(+) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
