#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721560.1         -            403 10508at5820          -            310  3.5e-152  504.8  17.1   1   2  1.1e-116  6.3e-114  379.1   5.4     2   234    13   251    12   285 0.91 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721560.1         -            403 10508at5820          -            310  3.5e-152  504.8  17.1   2   2   2.7e-41   1.6e-38  131.5   3.9   245   310   338   403   329   403 0.97 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723076.1         -            695 10508at5820          -            310     1e-17   63.1  43.1   1   2    0.0062       3.6    5.5  30.8    95   186   318   401   240   412 0.65 | transcript=PVPAM_130058200_t1 | gene=PVPAM_130058200 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000013:2363547-2365634(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723076.1         -            695 10508at5820          -            310     1e-17   63.1  43.1   2   2     4e-20   2.3e-17   62.0   3.9   208   299   600   692   580   695 0.85 | transcript=PVPAM_130058200_t1 | gene=PVPAM_130058200 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000013:2363547-2365634(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720156.1         -           1194 10508at5820          -            310   2.5e-12   45.4   3.2   1   2       1.8     1e+03   -2.6   1.1   196   255   290   350   265   360 0.67 | transcript=PVPAM_080037800_t1 | gene=PVPAM_080037800 | organism=Plasmodium_vivax_PAM | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=CASCJQ010000008:1496683-1500267(+) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720156.1         -           1194 10508at5820          -            310   2.5e-12   45.4   3.2   2   2   4.3e-15   2.5e-12   45.4   3.2   243   301  1137  1193  1106  1194 0.79 | transcript=PVPAM_080037800_t1 | gene=PVPAM_080037800 | organism=Plasmodium_vivax_PAM | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=CASCJQ010000008:1496683-1500267(+) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 10508at5820          -            310     3e-09   35.3   2.3   1   1   5.2e-12     3e-09   35.3   2.3   249   300   232   281   203   283 0.90 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719938.1         -           1167 10508at5820          -            310   5.3e-09   34.5   1.0   1   1   1.8e-11   1.1e-08   33.5   1.0   205   298   318   417   304   421 0.77 | transcript=PVPAM_080016100_t1 | gene=PVPAM_080016100 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:552494-555997(-) | protein_length=1167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719236.1         -            272 10508at5820          -            310     1e-05   23.7   1.0   1   1   1.8e-08     1e-05   23.7   1.0   244   300   209   264   193   268 0.83 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720182.1         -            742 10508at5820          -            310   0.00027   19.0   2.8   1   2      0.32   1.9e+02   -0.1   5.1    54   114   441   507   426   527 0.65 | transcript=PVPAM_080040400_t1 | gene=PVPAM_080040400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:1572902-1575130(-) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720182.1         -            742 10508at5820          -            310   0.00027   19.0   2.8   2   2   4.7e-07   0.00027   19.0   2.8   253   298   693   737   676   741 0.87 | transcript=PVPAM_080040400_t1 | gene=PVPAM_080040400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:1572902-1575130(-) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 10508at5820          -            310    0.0022   16.1   1.5   1   2     0.071        41    2.0   0.7   285   307    26    49    12    52 0.76 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 10508at5820          -            310    0.0022   16.1   1.5   2   2   3.7e-06    0.0022   16.1   1.5   262   296    64    98    59   101 0.82 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721917.1         -           1797 10508at5820          -            310      0.02   12.9   1.9   1   1   9.3e-05     0.054   11.5   1.9   252   287   154   192   137   196 0.86 | transcript=PVPAM_120015100_t1 | gene=PVPAM_120015100 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:418015-424211(+) | protein_length=1797 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721388.1         -             89 10508at5820          -            310       1.7    6.6  13.5   1   2      0.18   1.1e+02    0.6   1.3   277   301     9    35     1    46 0.68 | transcript=PVPAM_110029100_t1 | gene=PVPAM_110029100 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=CASCJQ010000011:1048379-1048648(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721388.1         -             89 10508at5820          -            310       1.7    6.6  13.5   2   2    0.0044       2.6    5.9  11.7   274   298    55    80    21    84 0.71 | transcript=PVPAM_110029100_t1 | gene=PVPAM_110029100 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=CASCJQ010000011:1048379-1048648(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721360.1         -            519 10508at5820          -            310       9.4    4.1  15.8   1   1   1.3e-05    0.0078   14.2   4.5   221   299   332   405   268   410 0.67 | transcript=PVPAM_110026300_t1 | gene=PVPAM_110026300 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=CASCJQ010000011:934966-936525(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10508at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10508at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10508at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:32 2026
# [ok]
