#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4   1  12  3.9e-153  2.5e-149  497.5   6.4     2   257    40   295    39   315 0.98 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4   2  12  4.2e-129  2.7e-125  417.8   1.3   249   509   356   629   349   637 0.95 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4   3  12     2e-80   1.3e-76  256.5   9.4   506   666   650   809   646   823 0.95 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4   4  12   1.1e-43   6.8e-40  134.7   0.0   676   788   889  1014   879  1020 0.85 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4   5  12   8.7e-71   5.6e-67  224.5   0.6   788  1000  1054  1298  1051  1305 0.84 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4   6  12   3.6e-55   2.3e-51  172.8   4.6  1007  1150  1332  1489  1322  1503 0.89 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4   7  12   9.9e-14   6.4e-10   35.4   0.0  1152  1188  1536  1572  1527  1576 0.90 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4   8  12   3.3e-46   2.1e-42  143.0   0.1  1186  1278  1607  1701  1604  1716 0.92 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4   9  12     2e-14   1.3e-10   37.7   0.0  1283  1333  1798  1848  1791  1854 0.86 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4  10  12   2.4e-18   1.6e-14   50.7   0.0  1341  1410  1934  2008  1899  2015 0.77 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4  11  12   1.2e-62   7.9e-59  197.5   5.9  1417  1569  2088  2274  2074  2279 0.82 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717711.1         -           2443 2879at5820           -           1693         0 2343.5  69.4  12  12   7.8e-61     5e-57  191.5   0.4  1576  1691  2322  2441  2313  2443 0.93 | transcript=PVPAM_010022500_t1 | gene=PVPAM_010022500 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=CASCJQ010000001:812867-820198(-) | protein_length=2443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2879at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
