#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719645.1         -           1637 1513at5820           -            985         0 1244.6  99.5   1   8   3.1e-59     1e-55  188.1  16.3     1   164    45   233    45   236 0.89 | transcript=PVPAM_070025900_t1 | gene=PVPAM_070025900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:925587-930500(+) | protein_length=1637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719645.1         -           1637 1513at5820           -            985         0 1244.6  99.5   2   8   5.3e-82   1.7e-78  263.4  18.1   174   353   318   534   309   540 0.87 | transcript=PVPAM_070025900_t1 | gene=PVPAM_070025900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:925587-930500(+) | protein_length=1637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719645.1         -           1637 1513at5820           -            985         0 1244.6  99.5   3   8   1.3e-26   4.3e-23   80.1   6.0   352   407   569   624   564   627 0.95 | transcript=PVPAM_070025900_t1 | gene=PVPAM_070025900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:925587-930500(+) | protein_length=1637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719645.1         -           1637 1513at5820           -            985         0 1244.6  99.5   4   8   8.1e-38   2.6e-34  117.2   0.0   408   501   672   778   668   779 0.86 | transcript=PVPAM_070025900_t1 | gene=PVPAM_070025900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:925587-930500(+) | protein_length=1637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719645.1         -           1637 1513at5820           -            985         0 1244.6  99.5   5   8  2.4e-100   7.6e-97  324.2   7.2   500   729   865  1129   848  1133 0.86 | transcript=PVPAM_070025900_t1 | gene=PVPAM_070025900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:925587-930500(+) | protein_length=1637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719645.1         -           1637 1513at5820           -            985         0 1244.6  99.5   6   8   3.3e-72   1.1e-68  231.0   8.2   721   871  1149  1301  1142  1303 0.96 | transcript=PVPAM_070025900_t1 | gene=PVPAM_070025900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:925587-930500(+) | protein_length=1637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719645.1         -           1637 1513at5820           -            985         0 1244.6  99.5   7   8   9.1e-13   2.9e-09   34.3   0.1   871   904  1423  1456  1419  1459 0.93 | transcript=PVPAM_070025900_t1 | gene=PVPAM_070025900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:925587-930500(+) | protein_length=1637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719645.1         -           1637 1513at5820           -            985         0 1244.6  99.5   8   8   1.3e-11   4.3e-08   30.4   0.1   905   941  1505  1541  1499  1628 0.80 | transcript=PVPAM_070025900_t1 | gene=PVPAM_070025900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:925587-930500(+) | protein_length=1637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722364.1         -            535 1513at5820           -            985   0.00031   17.7   1.5   1   1   1.7e-07   0.00054   16.8   1.5   818   901   342   423   336   439 0.88 | transcript=PVPAM_120060000_t1 | gene=PVPAM_120060000 | organism=Plasmodium_vivax_PAM | gene_product=aminomethyltransferase, putative | transcript_product=aminomethyltransferase, putative | location=CASCJQ010000012:2226435-2228042(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1513at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1513at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1513at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:10 2026
# [ok]
